TEfam	TEpropCov	Cont_1	Cont_2	Cont_3	Sel_1	Sel_2	Sel_3	Mean_Cont	Mean_Sel	Diff_SelCont	log2RatSelCont	Df	F_value	P_value	Df_nested	F_value_nested	P_value_nested	Df_resid	Bonf	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length
DMU89994	0.93386367181407	8.706	8.824	8.645	10.04	8.471	8.866	8.725	9.126	0.401	0.065	1	149.24	2.94931081927948e-34	4	208.82	2.94931081927948e-34	38460	TRUE	FBte0000739	U89994	Burdock	Dmel	Burdock	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|BURDOCK_I;BURDOCK_LTR|gag|Gypsy_superfamily|pol|internal_portion.	LTR	RNA	6411
DMW1DOC	0.999365079365079	61.6	63.008	53.902	65.559	58.134	60.186	59.503	61.293	1.79	0.043	1	98.96	2.80813761034804e-23	4	398.95	2.80813761034804e-23	28344	TRUE	FBte0000341	X17551	Doc	Dmel	Doc	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LINE-like_retrotransposon|DOC.	non-LTR	RNA	4725
DMZAM	0.851452282157676	4.844	3.93	4.312	4.05	4.298	5.11	4.362	4.486	0.124	0.04	1	26.87	2.17946455067413e-07	4	303.03	2.17946455067413e-07	50604	TRUE	FBte0000217	AJ000387	ZAM	Dmel	ZAM	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|ZAM_I|ZAM_LTR|env;gag|pol|internal_portion.	LTR	RNA	8435
DOC2	0.986636040927125	15.487	15.737	15.129	16.553	15.1	15.355	15.451	15.669	0.218	0.02	1	14.33	0.000153971146101514	4	69.81	0.000153971146101514	28728	FALSE	FBte0000103	nnnnnnnn	Doc2-element	Dmel	Doc2-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.917	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC;DOC2_DM|JOCKEY_clade|gag|reverse_transcriptase.	non-LTR	RNA	4789
DOC3	1	21.986	21.969	19.508	22.779	20.903	21.702	21.154	21.795	0.64	0.043	1	58.57	2.0270335600525e-14	4	138.87	2.0270335600525e-14	28434	TRUE	FBte0001140	nnnnnnnn	Doc3-element	Dmel	Doc3-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|gag|DOC|JOCKEY_clade|DOC3_DM.	non-LTR	RNA	4740
DOC4	0.977427445360086	3.991	3.974	3.51	4.055	3.898	4.043	3.825	3.999	0.173	0.064	1	26.38	2.83020620598372e-07	4	24.01	2.83020620598372e-07	16740	TRUE	FBte0001039	nnnnnnnn	Doc4-element	Dmel	Doc4-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC4_DM;JOCKEY_clade|ORF1|ORF2|reverse_transcriptase.	non-LTR	RNA	2791
DOC5	0.99017513882956	8.537	8.424	7.204	9.293	8.002	8.456	8.055	8.584	0.529	0.092	1	120.43	5.80035374001914e-28	4	139.79	5.80035374001914e-28	28086	TRUE	FBte0000791	nnnnnnnn	Porto1	Dmel	Porto1	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC5_DM;JOCKEY_clade|ORF1|ORF2|Porto-1|reverse_transcriptase.	non-LTR	RNA	4682
F	0.997875955819881	97.518	100.149	90.847	104.202	96.89	95.659	96.171	98.917	2.746	0.041	1	72.28	1.96263104922385e-17	4	141.64	1.96263104922385e-17	28242	TRUE	FBte0000005	AC005198	F-element	Dmel	F-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.936	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LINE_retrotransposon|DMFW|FW_DM|FW.	non-LTR	RNA	4708
FROGGER	0.921868707209021	3.424	2.275	2.94	2.449	2.92	3.144	2.88	2.838	-0.042	-0.021	1	4.31	0.0378901257013995	4	370.91	0.0378901257013995	14892	FALSE	FBte0000314	AF492763	frogger	Dmel	frogger	LTR_retrotransposon	LTR	Copia	Copia	Copia	Drosophila_melanogaster	100	1	NA	Copia|LTR_Retrotransposon|Transposable_Element;Interspersed_repeat|FROGGER_LTR|internal_portion|FROGGER_I.	LTR	RNA	2483
FW2	0.984347387023479	3.11	3.15	2.75	3.283	2.915	2.985	3.003	3.061	0.057	0.027	1	10.57	0.00114979064985642	4	92.88	0.00114979064985642	23760	FALSE	FBte0001002	nnnnnnnn	Fw2	Dmel	Fw2	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|FW2_DM;JOCKEY_clade|ORF1|ORF2|endonuclease|reverse_transcriptase.	non-LTR	RNA	3961
FW3	0.931992337164751	1.97	1.951	1.768	2.047	1.851	1.975	1.896	1.958	0.062	0.046	1	16.39	5.17513106798352e-05	4	32.17	5.17513106798352e-05	18786	TRUE	FBte0000636	nnnnnnnn	Fw3	Dmel	Fw3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|FW3_DM;JOCKEY_clade|ORF1|ORF2|endonuclease|reverse_transcriptase.	non-LTR	RNA	3132
G2	0.998065764023211	14.194	14.019	13.489	13.53	13.647	12.991	13.9	13.39	-0.511	-0.054	1	65.19	7.20255160123303e-16	4	21.41	7.20255160123303e-16	18606	TRUE	FBte0000800	AC006215	G2	Dmel	G2	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF2;FW_DM|DOC|JOCKEY_superfamily|G|DMCR1A|G2_DM.	non-LTR	RNA	3102
G3	0.971769815418024	1.631	1.64	1.464	1.876	1.564	1.684	1.578	1.708	0.13	0.114	1	117.48	2.55228710982453e-27	4	80.55	2.55228710982453e-27	27624	TRUE	FBte0001171	nnnnnnnn	G3	Dmel	G3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF1;reverse_transcriptase|ORF2|AP_endonuclease|RNase_H;DNA_binding_protein|JOCKEY_clade|G3_DM.	non-LTR	RNA	4605
G4_DM	1	8.228	7.844	6.801	8.526	7.441	8.09	7.624	8.019	0.395	0.073	1	53.78	2.32050816113444e-13	4	96.98	2.32050816113444e-13	23130	TRUE	FBte0000290	NA	G4	Dmel	G4	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|G4_DM|JOCKEY_clad|ORF1;ORF2|RNase_H|reverse_transcriptase.	non-LTR	RNA	3856
G5_DM	0.997940691927512	7.23	6.825	7.175	6.723	7.203	7.246	7.077	7.057	-0.019	-0.004	1	0.14	0.703944731925731	4	17.03	0.703944731925731	29130	FALSE	FBte0001128	NA	G5	Dmel	G5	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|G5_DM|JOCKEY_clad|ORF1;ORF2|RNase_H|reverse_transcriptase.	non-LTR	RNA	4856
G5A	0.957761351636748	6.076	6.094	5.592	6.182	5.947	5.995	5.92	6.041	0.121	0.029	1	2.6	0.107215543634001	4	5.71	0.107215543634001	17040	FALSE	FBte0000174	nnnnnnnn	G5A	Dmel	G5A	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|G5A_DM|JOCKEY_clade|ORF2;reverse_transcriptase.	non-LTR	RNA	2841
G6_DM	0.998530852105779	8.989	9.187	10.539	9.91	10.509	10.959	9.572	10.46	0.888	0.128	1	420.93	5.35049276649385e-92	4	176.06	5.35049276649385e-92	12246	TRUE	FBte0000958	NA	G6	Dmel	G6	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;DNA/RNA_binding_protein|G6_DM|JOCKEY_clad|ORF1|ORF2|RNase_H;endonuclease.	non-LTR	RNA	2042
G7	0.958892617449664	0.844	1.272	0.617	1.474	0.977	0.883	0.911	1.111	0.2	0.286	1	295.07	7.71550669280257e-65	4	518.91	7.71550669280257e-65	7146	TRUE	FBte0000690	AC003788	G7	Dmel	G7	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|G|G7_DM;JOCKEY_superfamily|ORF2.	non-LTR	RNA	1192
GTWIN	0.879503440831197	1.977	2.485	1.925	3.338	2.646	2.422	2.129	2.802	0.673	0.396	1	3821.94	0	4	911.49	0	44460	TRUE	FBte0001062	AC006215	gtwin	Dmel	gtwin	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|GTWIN_I;GTWIN_LTR|LTR-retrotransposon|endogenous_retrovirus|env|gag;pol|internal_portion.	LTR	RNA	7411
GYPSY10	0.885780885780886	4.325	4.413	3.5	4.327	3.728	4.052	4.08	4.036	-0.044	-0.016	1	2.36	0.124216611903123	4	140.7	0.124216611903123	36030	FALSE	FBte0000351	nnnnnnnn	gypsy10	Dmel	gypsy10	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY10_I|GYPSY10_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	6006
GYPSY2	0.89840666569215	5.87	5.785	5.685	6.103	5.934	5.898	5.78	5.978	0.198	0.049	1	42.77	6.23773373068642e-11	4	7.44	6.23773373068642e-11	41040	TRUE	FBte0001040	AL035631	gypsy2	Dmel	gypsy2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY2_I|GYPSY2_LTR|LTR-retrotransposon;internal_portion.	LTR	RNA	6841
GYPSY3	0.896457765667575	3.833	3.574	3.633	3.607	3.837	3.724	3.68	3.723	0.042	0.017	1	5.36	0.020592091404966	4	31.36	0.020592091404966	41832	FALSE	FBte0001030	AC007477	gypsy3	Dmel	gypsy3	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|GYPSY3_I;GYPSY3_LTR|endogenous_retrovirus|env|gag|pol;internal_portion.	LTR	RNA	6973
GYPSY4	0.934617629889083	17.994	17.207	14.911	18.964	16.526	17.48	16.704	17.657	0.952	0.08	1	224.17	1.51517382739362e-50	4	335.62	1.51517382739362e-50	41106	TRUE	FBte0000688	nnnnnnnn	gypsy4	Dmel	gypsy4	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY4_I|GYPSY4_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	6852
GYPSY5	0.894151173836341	1.892	1.903	1.734	2.58	2.029	2.215	1.843	2.274	0.431	0.303	1	2050.01	0	4	321.21	0	44208	TRUE	FBte0000308	AE003485	gypsy5	Dmel	gypsy5	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY5_I|GYPSY5_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	7369
GYPSY6	0.90416560184002	8.194	7.987	7.686	8.347	8.184	7.97	7.955	8.167	0.212	0.038	1	32.36	1.29141210949189e-08	4	24.39	1.29141210949189e-08	46950	TRUE	FBte0001175	nnnnnnnn	gypsy6	Dmel	gypsy6	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY6_I|GYPSY6_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	7826
GYPSY7	0.912869121399927	5.243	5.089	4.314	5.456	4.645	5.062	4.882	5.055	0.172	0.05	1	28.81	8.03792950250119e-08	4	133.2	8.03792950250119e-08	32910	TRUE	FBte0000171	AE003788	gypsy7	Dmel	gypsy7	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY7_I|GYPSY7_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	5486
GYPSY9	0.80557113479155	1.213	1.268	1.137	1.483	1.17	1.175	1.206	1.276	0.07	0.081	1	45.52	1.53505203921308e-11	4	113.46	1.53505203921308e-11	32088	TRUE	FBte0000764	AE002591	gypsy9	Dmel	gypsy9	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|GYPSY9_I|GYPSY9_LTR|endogenous_retrovirus;env|gag|pol|internal_portion.	LTR	RNA	5349
HEL	0.996962794229309	4.581	4.385	3.914	4.38	4.109	4.425	4.293	4.305	0.011	0.004	1	0.13	0.71748132696657	4	49.08	0.71748132696657	7896	FALSE	FBte0000984	nnnnnnnn	Helena	Dmel	Helena	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.468	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|retrotransposon|HELENA|HELENA_RT.	non-LTR	RNA	1317
HOPPER2	1	4.876	4.907	4.317	4.869	4.032	4.825	4.7	4.575	-0.125	-0.039	1	7	0.0081726422573799	4	49.62	0.0081726422573799	9552	FALSE	FBte0000930	AF541950	hopper2	Dmel	hopper2	terminal_inverted_repeat_element	DNA	Transib	NA	Transib	Drosophila_melanogaster	87.196	2	NA	Transib|DNA_transposon|Transposable_Element|Nonautonomous;nonautonomous_DNA_transposon|TIR|DMTRDNA|M4DM.	TIR	DNA	1593
INVADER	0.822172619047619	10.023	9.608	9.548	10.809	9.431	10.262	9.726	10.167	0.441	0.064	1	36.9	1.2592090216867e-09	4	34.66	1.2592090216867e-09	24186	TRUE	FBte0000357	nnnnnnnn	invader1	Dmel	invader1	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|INVADER_group;INVADER1_I|INVADER1_LTR|gag|integrase|protease;reverse_transcriptase|GYPSY71-I_AG|internal_portion.	LTR	RNA	4032
INVADER2	0.921545667447307	18.754	18.397	15.653	20.217	17.48	19.082	17.601	18.927	1.325	0.105	1	299.01	1.12175211753197e-66	4	270.68	1.12175211753197e-66	30738	TRUE	FBte0001084	nnnnnnnn	invader2	Dmel	invader2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|INVADER_group;INVADER2_I|INVADER2_LTR|gag|integrase|protease;reverse_transcriptase|internal_portion.	LTR	RNA	5124
INVADER3	0.912654996353027	6.396	5.824	5.72	7.017	6.033	6.222	5.98	6.424	0.444	0.103	1	281.54	6.33825380488885e-63	4	192.94	6.33825380488885e-63	32898	TRUE	FBte0000619	nnnnnnnn	invader3	Dmel	invader3	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|INVADER_group;INVADER3_I|INVADER3_LTR|gag|integrase|protease;reverse_transcriptase|internal_portion.	LTR	RNA	5484
INVADER5	0.835562159484894	1.065	0.996	0.959	1.216	1.029	1.186	1.007	1.144	0.137	0.184	1	243.75	1.10670113182213e-54	4	56.52	1.10670113182213e-54	24222	TRUE	FBte0000188	nnnnnnnn	invader5	Dmel	invader5	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|Gypsy_superfamily|INVADER_group;INVADER5_I|INVADER5_LTR|gag|integrase|reverse_transcriptase;internal_portion.	LTR	RNA	4038
INVADER6	0.856294779938587	2.802	2.699	2.417	3.005	2.702	2.771	2.639	2.826	0.187	0.099	1	156.14	9.71707977495104e-36	4	96.78	9.71707977495104e-36	29304	TRUE	FBte0000591	NT_033778	invader6	Dmel	invader6	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;Gypsy_superfamily|INVADER_group|INVADER6_I|INVADER6_LTR;endogenous_retrovirus|gag|pol|internal_portion.	LTR	RNA	4885
IVK	0.99870418363569	13.235	13.664	12.773	15.726	13.415	14.951	13.224	14.698	1.474	0.152	1	1579.88	0	4	383.52	0	32406	TRUE	FBte0000608	nnnnnnnn	Ivk	Dmel	Ivk	non_LTR_retrotransposon	LINE	Jockey	?	I	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|gag|I_DM|JOCKEY_clade|IVK_DM|You.	non-LTR	RNA	5402
JOCKEY2	0.920070011668611	2.998	2.871	2.724	3.275	2.944	3.129	2.864	3.116	0.252	0.122	1	47.45	5.80483033989575e-12	4	11.59	5.80483033989575e-12	20562	TRUE	FBte0001092	NA	jockey2	Dmel	jockey2	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;AP_endonuclease|DNA_binding_protein|JOCKEY_clad|JOCKEY2|ORF1;ORF2|RNase_H|reverse_transcriptase.	non-LTR	RNA	3428
JUAN	0.998819641170916	10.774	10.604	9.387	10.716	9.35	10.101	10.255	10.056	-0.2	-0.028	1	103.71	2.6017686745986e-24	4	902.73	2.6017686745986e-24	25410	TRUE	FBte0000982	AY180919	Juan	Dmel	Juan	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.905	1	1	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC6_DM;JOCKEY_clade|ORF1|ORF2|Strider|endonuclease;reverse_transcriptase.	non-LTR	RNA	4236
LOOPER1_DM	0.981924508240298	1.988	2.063	1.607	2.242	1.891	2.159	1.886	2.097	0.211	0.153	1	213.78	5.6444462011638e-48	4	149.32	5.6444462011638e-48	11280	TRUE	FBte0000323	NA	looper1	Dmel	looper1	terminal_inverted_repeat_element	DNA	piggyBac	PiggyBac	PiggyBac	Drosophila_melanogaster	100	1	NA	piggyBac|DNA_transposon|Transposable_Element|LOOPER1_Dm;Looper/PiggyBac_superfamily|TTAA|transposase.	TIR	DNA	1881
MARINER2	1	8.235	8.494	7.644	8.679	8.078	8.186	8.124	8.314	0.19	0.033	1	4.6	0.0319363220402668	4	12.43	0.0319363220402668	5466	FALSE	FBte0001033	nnnnnnnn	mariner2	Dmel	mariner2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|MARINER2_DM;Mariner/Tc1-superfamily|transposase.	TIR	DNA	912
McCLINTOCK	0.864031007751938	6.357	5.594	5.943	6.386	5.982	6.432	5.964	6.267	0.302	0.071	1	96.85	7.95297091836985e-23	4	73.19	7.95297091836985e-23	38694	TRUE	FBte0000926	AF541948	McClintock	Dmel	McClintock	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	2	NA	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|pol_domain|MCCLINTOCK|QUASIMODO2-I_DM.	LTR	RNA	6450
OPUS	0.868900412179232	16.106	17.472	14.735	14.002	16.213	16.581	16.104	15.599	-0.505	-0.046	1	52.8	3.75351764281756e-13	4	263.11	3.75351764281756e-13	45120	TRUE	FBte0000918	AY180918	opus	Dmel	opus	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.93	1	1	Gypsy|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|LTR-retrotransposon|NOMAD_I|NOMAD_LTR;gag|pol|internal_portion.	LTR	RNA	7521
OSV	0.932598833441348	1.381	1.289	1.243	1.31	1.383	1.318	1.304	1.337	0.032	0.035	1	7.6	0.00584341847237434	4	16.05	0.00584341847237434	9252	FALSE	FBte0000587	AY089271	Osvaldo	Dmel	Osvaldo	LTR_retrotransposon	LTR	Gypsy	?	Gypsy	Drosophila_simulans	92.742	2	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Gypsy-13_DSim_;Gypsy-13_DSim-LTR|Gypsy-13_DSim-I.	LTR	RNA	1543
PPI251	1	14.635	14.937	12.579	13.152	12.525	13.671	14.05	13.116	-0.935	-0.099	1	122.78	1.94299392501455e-28	4	92.56	1.94299392501455e-28	17436	TRUE	FBte0000037	X06779	P-element	Dmel	P-element	terminal_inverted_repeat_element	DNA	P	NA	P	Drosophila_bifasciata	79.865	2	NA	P|DNA_transposon|Transposable_Element|P-transposon|P_DB;Repetitive_element.	TIR	DNA	2907
QBERT	0.960522875816993	5.375	4.811	4.795	5.14	4.816	5.307	4.994	5.088	0.094	0.027	1	17.88	2.3609212920814e-05	4	116.02	2.3609212920814e-05	45894	TRUE	FBte0001166	AF541947	accord2	Dmel	accord2	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|ACCORD2_I;ACCORD2_LTR|endogenous_retrovirus|Gypsy_superfamily|gag;integrase|reverse_transcriptase|internal_portion.	LTR	RNA	7650
QUASIMODO	0.837687829971572	21.992	18.673	17.743	19.774	19.036	20.743	19.469	19.851	0.382	0.028	1	16.53	4.80332496087976e-05	4	216.41	4.80332496087976e-05	44316	TRUE	FBte0000640	AF364550	Quasimodo	Dmel	Quasimodo	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.44	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Retrovirus;gag-like|pol|env-like|QUASIMODO_LTR|QUASIMODO_I;internal_portion.	LTR	RNA	7387
R1-2	0.873756218905473	1.21	1.138	1.246	1.094	1.264	1.103	1.198	1.153	-0.044	-0.055	1	21.16	4.26269266394113e-06	4	43.25	4.26269266394113e-06	19290	TRUE	FBte0000720	nnnnnnnn	R1-2	Dmel	R1-2	non_LTR_retrotransposon	LINE	Non-LTR_Retrotransposon	?	R1	Drosophila_melanogaster	100	1	NA	Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;R1_clade|R1-2_DM|endonuclease|reverse_transcriptase.	non-LTR	RNA	3216
ROOA_LTR	0.90814853693741	8.699	8.763	7.695	9.397	8.202	8.854	8.386	8.818	0.432	0.072	1	97.03	7.18687221879468e-23	4	124.17	7.18687221879468e-23	45720	TRUE	FBte0000765	NA	rooA	Dmel	rooA	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	NA	BEL|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|reverse_transcriptase|gag;BCDPR_superfamily|endonuclease|env|internal_portion|ROOA_I;ROOA_LTR.	LTR	RNA	7621
ROVER	0.871412954359114	9.169	9.269	7.464	9.704	8.377	8.489	8.634	8.857	0.223	0.037	1	36.62	1.44840489030097e-09	4	386.4	1.44840489030097e-09	43902	TRUE	FBte0000692	AF492764	rover	Dmel	rover	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|ROVER_DM;env_domain|gag_domain|pol_domain.	LTR	RNA	7318
ROXELEMENT	0.99789029535865	14.674	14.728	13.965	14.564	15.496	14.877	14.456	14.979	0.523	0.051	1	85.73	2.20177807224604e-20	4	42.35	2.20177807224604e-20	28434	TRUE	FBte0001160	AF237761	X-element	Dmel	X-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	1	Jockey|Non-LTR_Retrotransposon|Transposable_Element|LINE;X-element|BS2.	non-LTR	RNA	4740
RT1B	1	24.069	25.14	22.96	24.184	25.181	22.703	24.056	24.023	-0.033	-0.002	1	0.12	0.725050322756391	4	102.26	0.725050322756391	31020	FALSE	FBte0000603	AC005734	Rt1b	Dmel	Rt1b	non_LTR_retrotransposon	LINE	R1	R1	R1	Drosophila_melanogaster	99.69	1	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;RT1|DMRT1|DMRT1B|Waldo-A.	non-LTR	RNA	5171
RT1C	0.883520117582216	3.177	3.198	3.177	3.049	3.464	3.123	3.184	3.212	0.028	0.013	1	0.8	0.370862665092056	4	16.99	0.370862665092056	32652	FALSE	FBte0000666	nnnnnnnn	Rt1c	Dmel	Rt1c	non_LTR_retrotransposon	LINE	R1	R1	R1	Drosophila_melanogaster	100	1	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;RT1|R1/I_clade|DMRT1|DMRT1C.	non-LTR	RNA	5443
S2	0.926801152737752	3.615	3.643	3.207	4.038	3.539	3.759	3.488	3.778	0.29	0.115	1	43.43	4.61815584266478e-11	4	21.04	4.61815584266478e-11	10404	TRUE	FBte0000709	nnnnnnnn	S2	Dmel	S2	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Mariner/Tc1-superfamily|S2_DM|S_DM|TIR|transposase.	TIR	DNA	1735
SPRINGER	0.905910416114498	4.252	5.23	3.552	5.191	4.64	4.714	4.344	4.848	0.504	0.158	1	816.98	4.23404412061625e-178	4	857.64	4.23404412061625e-178	45270	TRUE	FBte0000333	AF364549	springer	Dmel	springer	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.405	2	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|Gypsy97_DM;Gypsy1-LTR_DM|Gypsy1-I_DM.	LTR	RNA	7546
