TEfam	TEpropCov	CE	CP	HE	HP	LE	LP	CE1	CE2	CE3	CE4	CP1	CP2	CP3	CP4	HE1	HE2	HE3	HE4	HP1	HP2	HP3	HP4	LE1	LE2	LE3	LE4	LP1	LP2	LP3	LP4	Mean_Early	Mean_Postponed	Mean_Control	Mean_High	Mean_Low	Diff_PostEarly	log2Rat_PostEarly	Diff_HighCont	Diff_HighLow	Diff_ContLow	log2Rat_HighCont	log2Rat_HighLow	log2Rat_ContLow	Diff_PostEarlyCont	Diff_PostEarlyHigh	Diff_PostEarlyLow	log2Rat_PostEarlyCont	log2Rat_PostEarlyHigh	log2Rat_PostEarlyLow	Df_Diet	F_value_Diet	PvalFull_Diet	Df_Breeding	F_value_Breeding	PvalFull_Breeding	Df_Inter	F_value_Inter	PvalFull_Inter	Df_resid	Df_Low	F_value_Low	Pval_Low	Df_Low_nested	F_value_Low_nested	Pval_Low_nested	Df_Low_resid	Df_Cont	F_value_Cont	Pval_Cont	Df_Cont_nested	F_value_Cont_nested	Pval_Cont_nested	Df_Cont_resid	Df_High	F_value_High	Pval_High	Df_High_nested	F_value_High_nested	Pval_High_nested	Df_High_resid	Bonf_Full	Bonf_Low	Bonf_Cont	Bonf_High	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length
BS3	0.98659217877095	10.225004	9.953109	9.90674	9.629741	9.035303	10.052202	9.8814687150838	9.04763854748603	10.1726597765363	11.7982508379888	9.93216815642458	9.84322346368715	9.95746368715084	10.0795804469274	10.5768983240223	9.76074469273743	9.80199888268156	9.48731955307263	9.17623631284916	9.57232681564246	9.98012458100559	9.7902782122905	9.03899106145251	9.27238715083799	8.9786156424581	8.85121843575419	9.99288715083799	10.2787011173184	9.55928044692737	10.3779374301676	9.722	9.878	10.089	9.768	9.544	0.156	0.023	-0.321	0.224	0.545	-0.047	0.034	0.08	-0.272	-0.277	1.017	-0.039	-0.041	0.154	2	93.11	4.48310455716829e-41	1	22.62	1.97547994005867e-06	2	172.26	3.07488633035466e-75	42954	1	360.445442259693	2.12494455918468e-79	6	14.4427638260482	1.6865123515256e-16	14312	1	20.6835663645227	5.46237479334207e-06	6	93.5076388750082	1.15485793415488e-115	14312	1	25.1665502747063	5.3216764984397e-07	6	27.7378748213364	4.06653264401145e-33	14312	TRUE	TRUE	TRUE	TRUE	FBte0000420	nnnnnnnn	BS3	Dmel	BS3	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|BS3_DM;JOCKEY_clade|ORF2|reverse_transcriptase.	non-LTR	RNA	1790
BS4	0.885941644562334	1.092314	1.120577	1.13799	1.016652	1.036657	1.059541	1.11130106100796	1.06683421750663	1.13759018567639	1.05352917771883	1.14581830238727	1.10353448275862	1.09338063660477	1.13957559681698	1.17154111405836	1.03638063660477	1.24967904509284	1.09435941644562	1.0079124668435	1.05801193633952	1.03481830238727	0.965863395225464	1.00790848806366	1.02476392572944	1.03455172413793	1.07940450928382	1.11818700265252	1.02841644562334	1.0088275862069	1.08273342175066	1.089	1.066	1.106	1.077	1.048	-0.023	-0.031	-0.029	0.029	0.058	-0.038	0.04	0.078	0.028	-0.121	0.023	0.037	-0.163	0.032	2	32.64	7.1145534695446e-15	1	15.74	7.28147181766035e-05	2	69.04	1.35116842244726e-30	18090	1	5.3302667070119	0.0209918635089243	6	8.75148079050064	1.62390045712867e-09	6024	1	7.42188340124743	0.00646212449304251	6	5.10388358695722	3.08093890985953e-05	6024	1	142.338999091364	1.89811795314875e-32	6	24.5921822124055	5.90683500392572e-29	6024	TRUE	FALSE	FALSE	TRUE	FBte0001042	nnnnnnnn	BS4	Dmel	BS4	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|BS|BS4_DM;JOCKEY_clade|ORF2|reverse_transcriptase.	non-LTR	RNA	754
CIRC	0.992751677852349	19.220203	18.614221	20.525504	17.875659	17.10804	19.320164	19.7202638926174	18.2587330201342	21.0215138255034	17.8803002684564	19.5270979865772	18.3589767785235	18.4342899328859	18.1365204026846	21.6849812080537	19.9973320805369	20.2303669798658	20.1893343624161	17.0735284563758	17.0519997315436	18.6395897986577	18.7375177181208	18.0480014765101	17.3227532885906	17.2259542281879	15.8354493959732	19.598411409396	18.9247912751678	19.2714284563758	19.4860256375839	18.951	18.603	18.917	19.201	18.214	-0.348	-0.027	0.283	0.986	0.703	0.021	0.076	0.055	-0.606	-2.65	2.212	-0.046	-0.199	0.175	2	574.04	3.11970774322052e-249	1	202	8.10128104437984e-46	2	3315.42	0	178794	1	3078.3749431937	0	6	148.181022893784	2.22519447442727e-187	59592	1	195.616130778126	2.2223783970564e-44	6	327.329412343054	0	59592	1	3893.90943674898	0	6	206.649899871348	6.15497750414623e-262	59592	TRUE	TRUE	TRUE	TRUE	FBte0000616	nnnnnnnn	Circe	Dmel	Circe	LTR_retrotransposon	LTR	LTR_Retrotransposon	?	Composite	Drosophila_melanogaster	98.755	1	NA	LTR_Retrotransposon|Transposable_Element|CIRCE;composite_transposon|non_LTR_retrotransposon.	LTR	RNA	7450
DIVER2	0.878381126703274	9.248459	8.72807	8.514994	8.553874	8.200503	8.698774	8.94303904820012	7.77734431563962	8.6226552776083	11.6507974374619	8.73496664632906	8.40399125483018	8.8128970917226	8.96042464917633	8.99438722798454	8.1922999796624	8.54270124059386	8.33058836689038	8.44458612975392	8.44579418344519	8.81064734594265	8.51446959528168	8.26665446410413	8.4431557860484	8.16267134431564	7.92952877770999	8.89601952410006	8.67373337400854	8.17744254626805	9.0478995322351	8.655	8.66	8.988	8.534	8.45	0.006	0.001	-0.454	0.085	0.539	-0.075	0.014	0.089	-0.52	0.039	0.498	-0.084	0.007	0.085	2	221.04	1.52918851373181e-96	1	0.06	0.803827858216254	2	171.45	4.44060707179161e-75	118002	1	177.389616863904	2.20283253284728e-40	6	34.0170674929669	3.27357127560763e-41	39328	1	169.422685041413	1.18906849160166e-38	6	447.665971256365	0	39328	1	1.0540430147844	0.304584092702913	6	26.7191132442286	5.93053565095224e-32	39328	FALSE	TRUE	TRUE	FALSE	FBte0001178	nnnnnnnn	diver2	Dmel	diver2	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	NA	BEL|LTR_Retrotransposon|Transposable_Element|Nonautonomous;gag|Retrovirus|endonuclease|internal_portion;nonautonomous_LTR_retrotransposon|RT|the_BCDRP_group;DIVER2_LTR|DIVER2_I.	LTR	RNA	4917
DM_ROO	0.943026836779586	58.252133	71.148794	71.051502	69.620592	64.29435	68.07028	71.1320487241531	65.5238008139023	64.85869566652	31.4939852617686	71.7623620765508	69.2035772107347	69.9307803563572	73.6984574351078	71.7204869115706	69.2993926528817	71.965124175099	71.2210061592609	65.7926547514298	73.2998941926969	69.4197039155301	69.9701135063792	64.9194263088429	64.0382364716234	63.88058424989	64.3391537615486	68.1579913110427	71.0205467443907	65.4561616805983	67.6464211394633	64.533	69.613	64.7	70.336	66.182	5.081	0.109	5.636	4.154	-1.482	0.12	0.088	-0.033	12.897	-1.431	3.776	0.289	-0.029	0.082	2	1395.9	0	1	3166.22	0	2	2150.57	0	218202	1	684.05230559886	4.36445404782994e-150	6	65.3881590469769	2.08840214767964e-81	72728	1	7651.93302549555	0	6	3797.65699478878	0	72728	1	86.5739718056541	1.3819912553688e-20	6	115.339149653228	1.61610308713248e-145	72728	TRUE	TRUE	TRUE	TRUE	FBte0000100	AY180917	roo	Dmel	roo	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	99.612	1	NA	BEL|LTR_Retrotransposon|Transposable_Element;endogenous_retrovirus|ORF1|gag|pol|BCDPR_superfamily|env;internal_portion|B104|ROO_LTR|ROO_I.	LTR	RNA	9092
DM06920	0.999506822291632	8.3175	14.958599	10.216716	14.899199	10.30502	12.279567	8.61656879829032	9.3273008384021	7.76339487095183	7.56273483478547	13.3261494328456	16.6953818839388	17.6772610554003	12.1356038139076	11.036187078744	11.81083429229	8.79189133651159	9.22795018905146	14.276627322045	17.3668763767878	15.6971704750945	12.2561237876048	9.58356551043893	8.92512839059675	10.8911303633076	11.8202543153049	15.1545696202532	11.2841696531317	10.962592963998	11.7169358868979	9.613	14.046	11.638	12.558	11.292	4.433	0.547	0.92	1.266	0.346	0.11	0.153	0.044	6.641	4.682	1.975	0.847	0.544	0.253	2	395.19	6.84094350647173e-172	1	13608.58	0	2	1267.66	0	145986	1	1046.96012700583	2.90470309095006e-227	6	366.354839475628	0	48656	1	10391.7932354987	0	6	452.144766876332	0	48656	1	4966.64861820728	0	6	383.58072879941	0	48656	TRUE	TRUE	TRUE	TRUE	FBte0000143	U06920	HeT-A	Dmel	HeT-A	non_LTR_retrotransposon	LINE	Jockey	Jockey	telomeric	Drosophila_melanogaster	99.984	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|HETA;telomere.	non-LTR	RNA	6083
DM23420	0.910218739797584	8.767689	8.54665	8.961514	8.419764	6.897695	7.927824	8.12349069539667	8.10084802481228	8.19295119164218	10.6534644139732	8.92988638589618	8.70835798237023	8.53717890956579	8.01117580803134	9.98968348024812	9.34349036891936	8.1838370878224	8.32904619653934	8.01697241266732	9.07055223636957	8.91479138099902	7.67673996082272	7.1579518445968	6.89775497877898	6.52638736532811	7.00868739797584	7.9470249755142	7.74767499183807	7.71999640874959	8.29659973881815	8.209	8.298	8.657	8.691	7.413	0.089	0.016	0.033	1.278	1.244	0.006	0.229	0.224	-0.221	-0.542	1.03	-0.037	-0.09	0.201	2	3046.89	0	1	34.21	4.95562586907533e-09	2	990.63	0	147018	1	2005.58843224679	0	6	67.7139152795049	2.83222817587468e-84	49000	1	65.7770126716024	5.16541457209708e-16	6	584.061465316164	0	49000	1	405.751727377696	7.1360875865492e-90	6	413.680088562665	0	49000	TRUE	TRUE	TRUE	TRUE	FBte0000266	U23420	3S18	Dmel	3S18	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	1	BEL|LTR_Retrotransposon|Transposable_Element|BEL_I|BEL_LTR;endogenous_retrovirus|endonuclease|gag|reverse_transcriptase;internal_portion.	LTR	RNA	6126
DM33463	0.925691244239631	19.728485	22.535146	23.170089	21.509509	21.093575	23.115928	22.9239400921659	21.3535714285714	22.6453087557604	11.9911198156682	23.2740892857143	21.5808669354839	23.0809297235023	22.2046998847926	24.5211232718894	22.537827764977	22.8423548387097	22.7790512672811	20.6123508064516	21.3834262672811	21.9950662442396	22.0471918202765	21.8275892857143	21.1354965437788	20.9099637096774	20.50125	23.0424239631336	23.6470236175115	22.4430478110599	23.331215437788	21.331	22.387	21.132	22.34	22.105	1.056	0.07	1.208	0.235	-0.973	0.08	0.015	-0.065	2.807	-1.661	2.022	0.192	-0.107	0.132	2	20.97	7.86596098244646e-10	1	42.78	6.20499353417375e-11	2	72.73	2.95039543001774e-32	41658	1	52.4599766652849	4.62227356582678e-13	6	1.82959566403856	0.0891578930812003	13880	1	105.965516926981	9.21013834993792e-25	6	93.1436996784482	3.84237876931746e-115	13880	1	34.7788346837648	3.77956061777901e-09	6	4.02651254217328	0.000491853764138665	13880	TRUE	TRUE	TRUE	TRUE	FBte0001005	U33463	S-element	Dmel	S-element	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|S_DM|TIR;Tc1/mariner_superfamily|transposase.	TIR	DNA	1736
DM88	0.950855638437911	11.84323	12.082291	12.161789	11.649335	11.665552	12.246449	12.458988810882	11.5184782799473	12.3550083369899	11.040442738043	12.6434416410706	11.6575372970601	12.2363924967091	11.791794207986	12.6287354102677	11.7301575252304	12.3074927599824	11.9807720491444	11.1932187362878	11.9254517332163	11.7087768758227	11.7698927161036	11.975530276437	11.7009473453269	11.3327770952172	11.6529532689776	12.8434760860026	11.9683317244405	11.7465052654673	12.4274813514699	11.89	11.993	11.963	11.906	11.956	0.103	0.012	-0.057	-0.05	0.007	-0.007	-0.006	0.001	0.239	-0.512	0.581	0.029	-0.062	0.07	2	0.79	0.451953017537008	1	6.41	0.0113741307544901	2	63.58	2.5262469662609e-28	109386	1	69.9119535024881	6.41835456153731e-17	6	15.9659270572081	2.00014524027023e-18	36456	1	11.660842444334	0.000638989266659719	6	33.911802646711	4.54364039412682e-41	36456	1	52.6808246792178	4.00222371900408e-13	6	12.7165509639036	2.14829203398876e-14	36456	FALSE	TRUE	FALSE	TRUE	FBte0000267	nnnnnnnn	Dm88	Dmel	Dm88	LTR_retrotransposon	LTR	Copia	Copia	Copia	Drosophila_melanogaster	100	1	1	Copia|LTR_Retrotransposon|Transposable_Element|COPIA2I_DM;COPIA2LTR_DM|Retrovirus|COPIA_superfamily;gag-reverse_transcriptase.	LTR	RNA	4558
DMAURA	0.9064039408867	3.327559	2.933442	3.170848	2.844531	2.861709	3.044137	3.08092868871687	2.80971381656111	3.25633685198217	4.16325850340136	3.10672695285011	2.87563898662913	2.83996669012433	2.91143373211353	3.30685479709125	3.11240065681445	3.17973375557119	3.08440089139104	2.66366666666667	2.73329720853859	2.96441684259911	3.01674431151771	2.89659910860896	2.83851935256861	2.91734670419892	2.79437133474079	2.9398733286418	2.9699476894206	3.12243560872625	3.14429017124091	3.12	2.941	3.131	3.008	2.953	-0.179	-0.085	-0.123	0.055	0.178	-0.058	0.027	0.084	-0.394	-0.326	0.182	-0.182	-0.157	0.089	2	49.54	3.13211324785793e-22	1	144.5	2.90583274629165e-33	2	148.73	3.18461166149827e-65	102306	1	52.8088342955738	3.7551902649202e-13	6	5.54343578743689	9.40114616136689e-06	34096	1	226.454819887964	5.15854188307267e-51	6	130.609754949284	4.21259763289603e-164	34096	1	159.114736917578	2.13033906428686e-36	6	14.7661223654493	6.24573375718225e-17	34096	TRUE	TRUE	TRUE	TRUE	FBte0000112	nnnnnnnn	aurora-element	Dmel	aurora-element	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_simulans	97.228	2	NA	BEL|LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|internal_portion|PAO_subgroup|NINJA_I.	LTR	RNA	4263
DMBARI1	1	27.664357	33.25657	34.980897	31.236142	26.711165	32.146059	33.6997771990741	27.5613900462963	30.2702453703704	19.126015625	34.9003298611111	29.903125	34.1897019675926	34.0331226851852	39.0647430555556	32.6159895833333	34.3907957175926	33.8520607638889	28.9643865740741	33.5300665509259	33.6533541666667	28.796759837963	29.017375	28.2578506944444	24.405828125	25.1636047453704	36.0365989583333	30.1857719907407	28.8453703703704	33.5164953703704	29.785	32.213	30.46	33.109	29.429	2.427	0.113	2.648	3.68	1.032	0.12	0.17	0.05	5.592	-3.745	5.435	0.266	-0.163	0.267	2	2669.85	0	1	3274.7	0	2	5294.02	0	41466	1	14015.2552835257	0	6	1865.18574753949	0	13816	1	9657.32566448565	0	6	3385.37009636098	0	13816	1	5157.17591744776	0	6	1413.10536815383	0	13816	TRUE	TRUE	TRUE	TRUE	FBte0000034	X67681	Bari1	Dmel	Bari1	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|BARI_DM;DMBARI1|Mobile_genetic_element|transposon.	TIR	DNA	1728
DMBLPP	0.977751291219706	14.385894	14.402552	15.089286	14.134123	12.996722	13.307773	15.0789976162098	12.8250303933254	14.7722266587207	14.8673208184346	14.4111503774335	14.4904656336909	14.5112836710369	14.1973094954311	16.6994247119587	13.9083035359555	14.7377246722288	15.0116928883592	13.8406197854589	15.1316922924116	14.0351152165276	13.5290639650377	13.0769872864521	12.8054402065952	12.8638059197457	13.2406549463647	13.9535721096544	13.1814982121573	13.0979882796981	12.9980341676599	14.157	13.948	14.394	14.612	13.152	-0.209	-0.021	0.217	1.459	1.242	0.022	0.152	0.13	0.017	-0.955	0.311	0.002	-0.094	0.034	2	1618.8	0	1	85.67	2.16452916795078e-20	2	286.61	6.61546513724773e-125	120810	1	74.4686336435233	6.38236058621526e-18	6	44.4586604905989	1.64644446755208e-54	40264	1	0.173030673057014	0.677434496301774	6	174.559652708534	3.92028136847019e-220	40264	1	579.668765437296	3.52135729108714e-127	6	295.131458619655	0	40264	TRUE	TRUE	FALSE	TRUE	FBte0000660	Z27119	flea	Dmel	flea	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	1	Gypsy|LTR_Retrotransposon|Transposable_Element|BLASTOPIA_I;BLASTOPIA_LTR|Gypsy_superfamily|gag|pol|internal_portion.	LTR	RNA	5034
DMCOPIA	0.935640676647871	20.812337	24.696406	26.601915	23.646344	23.327678	23.952363	24.3547336185106	24.1953101302742	24.0038753645732	10.6954269881392	26.3855675675676	24.7862039665565	25.0820400544429	22.5318129496403	25.8438660314991	27.5607159245577	26.14526015944	26.8578183939335	22.5970460820533	25.0542829088081	24.6823882947696	22.251659148357	25.6569447793117	22.4664767645343	23.4272403266576	21.7600509430294	26.431345323741	23.8741643009916	22.5621125802061	22.9418292825199	23.581	24.098	22.754	25.124	23.64	0.518	0.031	2.37	1.484	-0.886	0.143	0.088	-0.055	3.884	-2.956	0.625	0.247	-0.17	0.038	2	914.02	0	1	128.16	1.07351043897088e-29	2	1865.25	0	123426	1	72.6436530719647	1.60501694394493e-17	6	275.199353721047	0	41136	1	2833.97751793536	0	6	2257.80187265186	0	41136	1	1439.78540550253	1.0752588438008e-309	6	108.093090414746	9.46084989068449e-136	41136	TRUE	TRUE	TRUE	TRUE	FBte0000023	X02599	copia	Dmel	copia	LTR_retrotransposon	LTR	Copia	Copia	Copia	Drosophila_melanogaster	100	1	NA	Copia|LTR_Retrotransposon|Transposable_Element|COPIA_DM;COPIA_DM_I|COPIA_DM_LTR|Copia_element|DMCOPIA;Long_terminal_repeat|Repetitive_element|internal_portion.	LTR	RNA	5143
DMCR1A	1	57.100194	62.140725	62.858856	60.105354	56.670279	61.364655	62.4258288590604	56.7652700223714	62.2764395973154	46.9332364653244	62.6883013422819	60.3023973154362	63.2838181208054	62.2883836689038	65.9912284116331	61.7879087248322	62.4553489932886	61.2009389261745	57.8626270693512	60.0520738255034	61.7955635346756	60.7111503355705	58.7854581655481	57.9613429530201	55.5384950782998	54.3958178970917	63.1359838926174	60.8706559284116	58.5782937360179	62.8736859060403	58.876	61.204	59.62	61.482	59.017	2.327	0.056	1.862	2.465	0.603	0.044	0.059	0.015	5.041	-2.754	4.694	0.122	-0.065	0.115	2	140.08	1.7493858906646e-61	1	344.69	8.00123715680831e-77	2	411.38	1.054716533935e-178	107274	1	488.69815407603	1.44132538306944e-107	6	48.0806398371164	4.20902378020038e-59	35752	1	557.167269007577	3.00093416683312e-122	6	299.053411543815	0	35752	1	158.71909204758	2.57486888052124e-36	6	38.600476129783	4.99616840965521e-47	35752	TRUE	TRUE	TRUE	TRUE	FBte0000140	nnnnnnnn	Cr1a	Dmel	Cr1a	non_LTR_retrotransposon	LINE	CR1	CR1	CR1	Drosophila_melanogaster	100	1	NA	CR1|Non-LTR_Retrotransposon|Transposable_Element;CR1_superfamily|DMCR1A|ORF1|ORF2.	non-LTR	RNA	4470
DMDM11	0.93114814136605	9.212595	8.848187	9.442724	8.564982	8.439697	9.148636	9.31442959164988	8.78861215894525	9.53865152902399	9.2086863211866	8.74132668009522	8.42132191906244	8.62325270097052	9.60684508331807	9.97128163340048	9.09111920893609	9.26083849111884	9.44765610694012	7.97032613074528	8.46324153085516	9.06957828236587	8.7567837392419	8.61881926387109	8.30303845449551	8.68818659586156	8.14874381981322	9.14872404321553	9.24802691814686	9.00731276323018	9.19047958249405	9.032	8.854	9.03	9.004	8.794	-0.178	-0.029	-0.027	0.21	0.236	-0.004	0.034	0.038	-0.364	-0.878	0.709	-0.058	-0.141	0.116	2	57.1	1.62953835083585e-25	1	80.79	2.54269591252054e-19	2	558.81	2.18176302513399e-242	131058	1	454.541044719728	2.41066001043484e-100	6	17.2409000184225	5.06756751502307e-20	43680	1	110.026922319028	1.03722136415147e-25	6	77.0730926314839	3.40615905494426e-96	43680	1	653.384299762154	4.64523875502685e-143	6	77.1381382687559	2.8127304262567e-96	43680	TRUE	TRUE	TRUE	TRUE	FBte0000042	X14037	micropia	Dmel	micropia	LTR_retrotransposon	LTR	LTR_Retrotransposon	?	Gypsy	Drosophila_melanogaster	99.911	1	NA	LTR_Retrotransposon|Transposable_Element|DM2|MICROPIA_I;MICROPIA_LTR|gag|pol|internal_portion.	LTR	RNA	5461
DME010298	0.927589044316445	15.708038	14.742541	15.490715	14.011575	13.68603	14.824967	14.9808034559774	13.8613044551546	15.333442341601	18.65659997649	15.4612503820383	14.2998980839309	14.6224348183849	14.5865797578465	16.129342776537	15.7753191489362	15.1895333254966	14.868665569531	13.5949277065946	13.5703627600799	14.6175273304338	14.2634813682849	14.0294338779828	13.9184019043141	13.6452234630304	13.1510595979781	14.8634130715881	14.7562065357941	14.3765901022687	15.3036601622193	14.962	14.526	15.225	14.751	14.255	-0.435	-0.043	-0.474	0.496	0.97	-0.046	0.049	0.095	-0.965	-1.479	1.139	-0.092	-0.145	0.115	2	445.48	8.97974190099726e-194	1	269.13	1.91993289666738e-60	2	911.4	0	204162	1	693.430840437866	4.66079350058673e-152	6	39.9222937487844	8.65203305208853e-49	68048	1	399.003454656409	1.62992180591903e-88	6	482.421337442979	0	68048	1	1088.83811927332	6.60693917938846e-237	6	73.2160283601136	1.97454940186502e-91	68048	TRUE	TRUE	TRUE	TRUE	FBte0000359	AJ010298	GATE	Dmel	GATE	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	1	BEL|LTR_Retrotransposon|Transposable_Element|Retrovirus;internal_portion|polyprotein|BATUMI_LTR|BATUMI_I.	LTR	RNA	8507
DME278684	0.995888801879405	12.9785	12.16261	12.619521	11.636573	10.495656	11.618145	12.7090659749413	10.9464426389977	12.0886198120595	16.1698731401723	11.791341229444	12.152012725137	12.0787777995301	12.6283075567737	12.8588249804229	11.9405769381363	13.0978651135474	12.5808153876273	11.2321769772905	11.9625448316366	11.6777617462803	11.6738087314017	10.8739267815192	10.3183120595145	10.5012458888019	10.2891388018794	11.2671141346907	11.5923283085356	11.7020640172279	11.9110718480814	12.031	11.806	12.571	12.128	11.057	-0.225	-0.027	-0.443	1.071	1.514	-0.052	0.133	0.185	-0.816	-0.983	1.122	-0.094	-0.117	0.147	2	1962.96	0	1	123.54	1.09747366812667e-28	2	1109.68	0	122586	1	1221.224998467	1.16149833532562e-263	6	35.0508177607189	1.57208285668186e-42	40856	1	485.018138489497	7.25480930713438e-107	6	943.575530691056	0	40856	1	885.409015007257	1.66767274246858e-192	6	78.002071889418	2.40642360916197e-97	40856	TRUE	TRUE	TRUE	TRUE	FBte0000457	AJ278684	Rt1a	Dmel	Rt1a	non_LTR_retrotransposon	LINE	R1	R1	R1	Drosophila_melanogaster	98.01	1	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;RT1|DMRT1|DMRT1A|Waldo-B.	non-LTR	RNA	5108
DME487856	0.961313697989715	14.719403	13.615658	14.10295	13.461707	12.953317	14.265633	14.0121638616176	12.2257814399252	14.1625548153343	18.4771129032258	13.6893740065451	13.2815392706872	14.5492559607293	12.9424641187471	15.3687053529687	14.172556802244	13.6930476858345	13.1774902992052	13.3053210612436	14.1992103786816	13.433162459093	12.9091338242169	13.2583669939224	13.9114663394109	12.3758569424965	12.2675777232352	15.0907360916316	13.5824024076671	13.6316951846657	14.7577002103787	13.925	13.781	14.168	13.782	13.609	-0.144	-0.015	-0.385	0.173	0.558	-0.04	0.018	0.058	-1.104	-0.641	1.312	-0.112	-0.067	0.139	2	245.82	2.33552225128705e-107	1	46.99	7.16074830172831e-12	2	1238.39	0	205338	1	1604.23697188245	0	6	279.953100490118	0	68440	1	790.907527631146	4.96830439149524e-173	6	1222.18239526355	0	68440	1	356.452754048663	2.6545617605696e-79	6	253.271808335627	1.17093558064375e-321	68440	TRUE	TRUE	TRUE	TRUE	FBte0000304	AJ487856	Max-element	Dmel	Max-element	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_melanogaster	100	1	NA	BEL|LTR_Retrotransposon|Transposable_Element|BCDRP_superfamily;BEL-PAO_superfamily|MAX|MAX_I|MAX_LTR|endogenous_retrovirus;polyprotein|internal_portion.	LTR	RNA	8556
DME9736	0.890028336256915	16.392974	18.37495	18.683361	17.879018	17.219915	19.318003	18.8990284711915	17.2868658750506	19.4724938604777	9.91350600458778	18.5791617865335	16.9302385642963	19.9697518553502	18.0206457967886	19.5107313452975	17.9435039805694	18.640290109297	18.6389187693968	17.1113604102011	19.4248128457698	17.080489812441	17.8994093914452	18.0244160032384	17.5338607475374	16.8459829982459	16.4754014303063	19.2997671029551	20.0034980434489	18.5523312643368	19.4164151936311	17.432	18.524	17.384	18.281	18.269	1.092	0.088	0.897	0.012	-0.885	0.073	0.001	-0.072	1.982	-0.804	2.098	0.165	-0.063	0.166	2	240.79	3.67887719827209e-105	1	813.34	1.71766870676502e-178	2	614.01	1.79977086211781e-266	177858	1	1037.71396103059	1.02353036285241e-225	6	49.2316878140653	1.13616301974862e-60	59280	1	960.396530339543	3.44832874257964e-209	6	1290.5619859023	0	59280	1	151.667555534469	8.26222717999207e-35	6	94.7989927779662	4.76840693894955e-119	59280	TRUE	TRUE	TRUE	TRUE	FBte0000104	AJ009736	Idefix	Dmel	Idefix	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	99.968	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|gag|pol;Gypsy_superfamily|env|internal_portion|IDEFIX_I|IDEFIX_LTR.	LTR	RNA	7411
DMGYPF1A	0.89208729414915	4.60055	5.129565	5.00029	4.706321	4.892851	5.133643	4.19124983264159	4.45970397643593	4.52776154773062	5.22348654438345	5.48017954210738	5.13390815370197	5.043668496452	4.86050461909225	4.66633552014995	4.84725210871603	5.29121836925961	5.19635520149953	4.7466327486946	4.53374682019012	4.98224434328558	4.56265912438077	5.37169219440353	5.3642040433793	4.72409144463784	4.11141464720846	5.20400080332039	5.0414766367653	5.23012679073504	5.05896626054358	4.831	4.99	4.865	4.853	5.013	0.159	0.047	-0.012	-0.16	-0.148	-0.003	-0.047	-0.043	0.529	-0.294	0.241	0.157	-0.087	0.069	2	79.85	2.17247317437028e-35	1	189.6	4.09308562740812e-43	2	438.09	1.59933157669892e-190	179250	1	150.38682945664	1.5703078661518e-34	6	241.847546591886	1.16760980301973e-306	59744	1	697.093077788757	9.69719600409365e-153	6	162.620804807004	7.92331988196494e-206	59744	1	222.625904826481	2.98040239547782e-50	6	82.9104415770755	8.15399398485439e-104	59744	TRUE	TRUE	TRUE	TRUE	FBte0000021	M12927	gypsy	Dmel	gypsy	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|GYPSY_DM;GYPSY_I|GYPSY_I.|GYPSY_LTR|endogenous_retrovirus|env|gag;pol|internal_portion.	LTR	RNA	7469
