# submitted_id	current_id	converted_id	current_symbol
FBgn0029941	FBgn0029941	FBgn0029941	CG1677
FBgn0010083	FBgn0262601	FBgn0262601	SmB
FBgn0033528	FBgn0033528	FBgn0033528	trsn
FBgn0040773	FBgn0040773	FBgn0040773	COX7C
FBgn0035190	FBgn0264272	FBgn0264272	mwh
FBgn0040715	FBgn0040715	FBgn0040715	CG15386
FBgn0037471	FBgn0261238	FBgn0261238	Alh
FBgn0051950	FBgn0051950	FBgn0051950	Sbat
FBgn0051481	FBgn0051481	FBgn0051481	pb
FBgn0037892	FBgn0037892	FBgn0037892	mRpL40
FBgn0037717	FBgn0037717	FBgn0037717	CG8301
FBgn0035798	FBgn0035798	FBgn0035798	frac
FBgn0000256	FBgn0000256	FBgn0000256	capu
FBgn0030079	FBgn0265413	FBgn0265413	CG44325
FBgn0085271	FBgn0085271	FBgn0085271	CG34242
FBgn0036003	FBgn0266101	FBgn0266101	CG44838
FBgn0027547	FBgn0027547	FBgn0027547	CG1927
FBgn0033313	FBgn0033313	FBgn0033313	Cirl
FBgn0039864	FBgn0039864	FBgn0039864	CG11550
FBgn0032986	FBgn0032986	FBgn0032986	CG3262
FBgn0038871	FBgn0038871	FBgn0038871	CG3337
FBgn0052109	FBgn0052109	FBgn0052109	CG32109
FBgn0039205	FBgn0039205	FBgn0039205	CG13623
FBgn0039965	FBgn0039965	FBgn0039965	Coa7
FBgn0005592	FBgn0285896	FBgn0285896	btl
FBgn0036217	FBgn0036217	FBgn0036217	CG5906
FBgn0030572	FBgn0030572	FBgn0030572	mRpS25
FBgn0002891	FBgn0002891	FBgn0002891	DNApol-zeta
FBgn0015239	FBgn0015239	FBgn0015239	Hr78
FBgn0039234	FBgn0039234	FBgn0039234	Nct
FBgn0037878	FBgn0037878	FBgn0037878	CG6693
FBgn0040396	FBgn0040396	FBgn0040396	CG3939
FBgn0039259	FBgn0039259	FBgn0039259	EMC6
FBgn0030514	FBgn0030514	FBgn0030514	CG9941
FBgn0038474	FBgn0038474	FBgn0038474	mRpS11
FBgn0036342	FBgn0036342	FBgn0036342	CG11279
FBgn0040754	FBgn0040754	FBgn0040754	CG17059
FBgn0032109	FBgn0032109	FBgn0032109	CG17005
FBgn0053198	FBgn0053198	FBgn0053198	pen-2
FBgn0037843	FBgn0037843	FBgn0037843	CG4511
FBgn0034529	FBgn0034529	FBgn0034529	FAM21
FBgn0035044	FBgn0035044	FBgn0035044	CG3663
FBgn0034399	FBgn0034399	FBgn0034399	CG15083
FBgn0039135	FBgn0039135	FBgn0039135	CG13603
FBgn0033924	FBgn0033924	FBgn0033924	CG8613
FBgn0052267	FBgn0052267	FBgn0052267	CG32267
FBgn0035236	FBgn0035236	FBgn0035236	CG12004
FBgn0053228	FBgn0261373	FBgn0261373	CG33228
FBgn0050115	FBgn0050115	FBgn0050115	GEFmeso
FBgn0029971	FBgn0029971	FBgn0029971	ND-MNLL
FBgn0032634	FBgn0032634	FBgn0032634	Rpb11
FBgn0039623	FBgn0039623	FBgn0039623	CG1951
FBgn0037234	FBgn0037234	FBgn0037234	CG9795
FBgn0035477	FBgn0035477	FBgn0035477	CG14982
FBgn0004841	FBgn0004841	FBgn0004841	TkR86C
FBgn0016756	FBgn0016756	FBgn0016756	Usp47
FBgn0038876	FBgn0038876	FBgn0038876	Idi
FBgn0003390	FBgn0003390	FBgn0003390	shf
FBgn0052441	FBgn0052441	FBgn0052441	EMC10
FBgn0037345	FBgn0037345	FBgn0037345	Rev7
FBgn0021818	FBgn0286070	FBgn0286070	cnk
FBgn0039648	FBgn0039648	FBgn0039648	CG14515
FBgn0052022	FBgn0052022	FBgn0052022	CG32022
FBgn0039687	FBgn0039687	FBgn0039687	Naa40
FBgn0027504	FBgn0027504	FBgn0027504	CG8878
FBgn0032236	FBgn0032236	FBgn0032236	mRpS7
FBgn0038956	FBgn0038956	FBgn0038956	CAH8
FBgn0005624	FBgn0005624	FBgn0005624	Psc
FBgn0036449	FBgn0036449	FBgn0036449	bmm
FBgn0025701	FBgn0263316	FBgn0263316	Mrp4
FBgn0051184	FBgn0051184	FBgn0051184	LSm3
FBgn0038974	FBgn0038974	FBgn0038974	CG5377
FBgn0037930	FBgn0037930	FBgn0037930	CG14715
FBgn0031708	FBgn0031708	FBgn0031708	CG7382
FBgn0031264	FBgn0031264	FBgn0031264	CG11835
FBgn0022063	FBgn0264962	FBgn0264962	Pcf11
FBgn0038307	FBgn0038307	FBgn0038307	mRpS10
FBgn0085549	FBgn0085549	FBgn0085549	CG40973
FBgn0035797	FBgn0035797	FBgn0035797	CG14837
FBgn0032796	FBgn0032796	FBgn0032796	cyst
FBgn0050372	FBgn0050372	FBgn0050372	Asap
FBgn0037883	FBgn0037883	FBgn0037883	CG14701
FBgn0053170	FBgn0053170	FBgn0053170	CG33170
FBgn0035334	FBgn0035334	FBgn0035334	CG8993
FBgn0030802	FBgn0030802	FBgn0030802	DENR
FBgn0032521	FBgn0032521	FBgn0032521	CG7110
FBgn0051223	FBgn0051223	FBgn0051223	CG31223
FBgn0058337	FBgn0058337	FBgn0058337	CG40337
FBgn0037340	FBgn0037340	FBgn0037340	CG14671
FBgn0031776	FBgn0031776	FBgn0031776	Pfdn1
FBgn0035992	FBgn0260859	FBgn0260859	Bet3
FBgn0045852	FBgn0045852	FBgn0045852	ham
FBgn0038107	FBgn0038107	FBgn0038107	CG17327
FBgn0001180	FBgn0001180	FBgn0001180	hb
FBgn0050387	FBgn0261554	FBgn0261554	CG42672
FBgn0052177	FBgn0052177	FBgn0052177	Ndfip
FBgn0034915	FBgn0034915	FBgn0034915	eIF6
FBgn0031247	FBgn0031247	FBgn0031247	CG11562
FBgn0035790	FBgn0035790	FBgn0035790	Cyp316a1
FBgn0034919	FBgn0034919	FBgn0034919	CG5569
FBgn0038976	FBgn0038976	FBgn0038976	Pfdn5
FBgn0016032	FBgn0016032	FBgn0016032	lbm
FBgn0022943	FBgn0022943	FBgn0022943	Cbp20
FBgn0034600	FBgn0261067	FBgn0261067	LSm1
FBgn0035499	FBgn0035499	FBgn0035499	Chd64
FBgn0037188	FBgn0037188	FBgn0037188	CG7369
FBgn0034644	FBgn0034644	FBgn0034644	CG10082
FBgn0037315	FBgn0037315	FBgn0037315	Cerk
FBgn0001301	FBgn0001301	FBgn0001301	kel
FBgn0028835	FBgn0261437	FBgn0261437	CSN8
FBgn0034849	FBgn0034849	FBgn0034849	CG3500
FBgn0053002	FBgn0053002	FBgn0053002	mRpL27
FBgn0038536	FBgn0038536	FBgn0038536	CG7655
FBgn0035537	FBgn0035537	FBgn0035537	CG11342
FBgn0034564	FBgn0034564	FBgn0034564	CG9344
FBgn0026879	FBgn0026879	FBgn0026879	CG13364
FBgn0001995	FBgn0001995	FBgn0001995	mRpL4
FBgn0039348	FBgn0039348	FBgn0039348	Npl4
FBgn0039972	FBgn0039972	FBgn0039972	Marf1
FBgn0033208	FBgn0033208	FBgn0033208	mRpL52
FBgn0026741	FBgn0026741	FBgn0026741	mRpL18
FBgn0031298	FBgn0031298	FBgn0031298	Atg4a
FBgn0034648	FBgn0259708	FBgn0259708	CG42362
FBgn0034648	FBgn0259711	FBgn0259711	CG42365
FBgn0034648	FBgn0259710	FBgn0259710	CG42364
FBgn0034648	FBgn0259709	FBgn0259709	CG42363
FBgn0037753	FBgn0037753	FBgn0037753	CG12947
FBgn0042119	FBgn0042119	FBgn0042119	Cpr65Au
FBgn0050373	FBgn0050373	FBgn0050373	CG30373
FBgn0003231	FBgn0003231	FBgn0003231	ref(2)P
FBgn0032261	FBgn0032261	FBgn0032261	CG6094
FBgn0003479	FBgn0003479	FBgn0003479	spn-A
FBgn0050105	FBgn0050105	FBgn0050105	CG30105
FBgn0032215	FBgn0267365	FBgn0267365	l(2)SH0834
FBgn0063494	FBgn0063494	FBgn0063494	GstE6
FBgn0035122	FBgn0035122	FBgn0035122	mRpL17
FBgn0035271	FBgn0035271	FBgn0035271	CG2021
FBgn0040531	FBgn0040531	FBgn0040531	CG11741
FBgn0025820	FBgn0025820	FBgn0025820	JTBR
FBgn0029148	FBgn0029148	FBgn0029148	NHP2
FBgn0032872	FBgn0261787	FBgn0261787	brun
FBgn0039407	FBgn0039407	FBgn0039407	CG14544
FBgn0038872	FBgn0038872	FBgn0038872	Nelf-A
FBgn0039265	FBgn0039265	FBgn0039265	CG11790
FBgn0001337	FBgn0266572	FBgn0266572	ebo
FBgn0015360	FBgn0015360	FBgn0015360	oxt
FBgn0010340	FBgn0010340	FBgn0010340	140up
FBgn0015380	FBgn0015380	FBgn0015380	drl
FBgn0085285	FBgn0085285	FBgn0085285	CG34256
FBgn0031781	FBgn0284255	FBgn0284255	Arpc4
FBgn0052706	FBgn0052706	FBgn0052706	CG32706
FBgn0032404	FBgn0032404	FBgn0032404	RpL7-like
FBgn0033754	FBgn0033754	FBgn0033754	Ak6
FBgn0011016	FBgn0011016	FBgn0011016	SsRbeta
FBgn0034245	FBgn0034245	FBgn0034245	UQCR-6.4
FBgn0036580	FBgn0036580	FBgn0036580	PDCD-5
FBgn0035482	FBgn0035482	FBgn0035482	CG14985
FBgn0035411	FBgn0283724	FBgn0283724	Girdin
FBgn0085661	FBgn0085661	FBgn0085661	CG41511
FBgn0033305	FBgn0259226	FBgn0259226	CG42326
FBgn0003963	FBgn0003963	FBgn0003963	ush
FBgn0035357	FBgn0035357	FBgn0035357	MEP-1
FBgn0010851	FBgn0261445	FBgn0261445	sgl
FBgn0039000	FBgn0266418	FBgn0266418	wake
FBgn0038261	FBgn0038261	FBgn0038261	CG14856
FBgn0035504	FBgn0035504	FBgn0035504	Teh4
FBgn0033691	FBgn0033691	FBgn0033691	CG8860
FBgn0040071	FBgn0040071	FBgn0040071	tara
FBgn0054001	FBgn0054001	FBgn0054001	CG34001
FBgn0039809	FBgn0039809	FBgn0039809	CG15547
FBgn0034398	FBgn0034398	FBgn0034398	CG15098
FBgn0035113	FBgn0035113	FBgn0035113	pyx
FBgn0036173	FBgn0036173	FBgn0036173	CG7394
FBgn0032240	FBgn0032240	FBgn0032240	CG17768
FBgn0029092	FBgn0029092	FBgn0029092	ced-6
FBgn0030266	FBgn0030266	FBgn0030266	CG11122
FBgn0031663	FBgn0031663	FBgn0031663	CG8891
FBgn0031384	FBgn0031384	FBgn0031384	CG4238
FBgn0034535	FBgn0034535	FBgn0034535	CG11110
FBgn0040890	FBgn0040890	FBgn0040890	ksh
FBgn0039403	FBgn0039403	FBgn0039403	Sld5
FBgn0039357	FBgn0039357	FBgn0039357	CG4743
FBgn0058159	FBgn0058159	FBgn0058159	CG40159
FBgn0034585	FBgn0034585	FBgn0034585	Rbpn-5
FBgn0040020	FBgn0040020	FBgn0040020	MED21
FBgn0054035	FBgn0262004	FBgn0262004	CG42822
FBgn0054035	FBgn0262003	FBgn0262003	CG42821
FBgn0038234	FBgn0038234	FBgn0038234	mRpL11
FBgn0038815	FBgn0038815	FBgn0038815	CG5466
FBgn0036210	FBgn0036210	FBgn0036210	CG14130
FBgn0033162	FBgn0283450	FBgn0283450	Glo1
FBgn0086447	FBgn0086447	FBgn0086447	l(2)37Cg
FBgn0013272	FBgn0013272	FBgn0013272	Gp150
FBgn0036613	FBgn0053257	FBgn0053257	CG33257
FBgn0036613	FBgn0285951	FBgn0285951	mRpS34
FBgn0037045	FBgn0037045	FBgn0037045	CG10584
FBgn0037018	FBgn0037018	FBgn0037018	CG4042
FBgn0035829	FBgn0035829	FBgn0035829	HP4
FBgn0030322	FBgn0266421	FBgn0266421	RPA3
FBgn0030883	FBgn0030883	FBgn0030883	CG7772
FBgn0037898	FBgn0037898	FBgn0037898	Dtd
FBgn0031992	FBgn0031992	FBgn0031992	Acbp1
FBgn0039233	FBgn0039233	FBgn0039233	CG7006
FBgn0038709	FBgn0038709	FBgn0038709	CG15025
FBgn0038109	FBgn0038109	FBgn0038109	CG11656
FBgn0052448	FBgn0052448	FBgn0052448	CG32448
FBgn0029925	FBgn0029925	FBgn0029925	CG3040
FBgn0029157	FBgn0029157	FBgn0029157	ssh
FBgn0001316	FBgn0001316	FBgn0001316	klar
FBgn0034789	FBgn0034789	FBgn0034789	PIP5K59B
FBgn0036013	FBgn0267796	FBgn0267796	Tmc
FBgn0034443	FBgn0034443	FBgn0034443	cer
FBgn0035335	FBgn0035335	FBgn0035335	mRpL23
FBgn0022246	FBgn0283652	FBgn0283652	Rpp30
FBgn0030669	FBgn0030669	FBgn0030669	CG9240
FBgn0051126	FBgn0051126	FBgn0051126	CG31126
FBgn0026088	FBgn0026088	FBgn0026088	CG14818
FBgn0030584	FBgn0030584	FBgn0030584	CG14407
FBgn0035171	FBgn0035171	FBgn0035171	CG12502
FBgn0011769	FBgn0011769	FBgn0011769	Fdx1
FBgn0028746	FBgn0028746	FBgn0028746	CG18508
FBgn0036853	FBgn0036853	FBgn0036853	mRpL21
FBgn0031684	FBgn0031684	FBgn0031684	ND-13A
FBgn0003942	FBgn0003942	FBgn0003942	RpS27A
