TEfam	Carnes2015	Fabian2018	Hoedjes2019	Remolina2012	flybase_name	TEsubclass	TEclass
STALKER2	1	0	0	1	Stalker2	LTR	RNA
STALKER3	1	1	0	0	Stalker3	LTR	RNA
TABOR	1	1	1	0	Tabor	LTR	RNA
TAHRE	1	0	1	1	TAHRE	non-LTR	RNA
TC1	1	0	1	1	Tc1	TIR	DNA
TC1-2	1	1	1	1	Tc1-2	TIR	DNA
TC3	1	1	1	1	Tc3	TIR	DNA
Tinker	1	0	0	0	diver	LTR	RNA
TIRANT	1	1	1	0	Tirant	LTR	RNA
TRANSIB1	1	0	1	1	transib1	TIR	DNA
TRANSIB2	1	0	1	1	transib2	TIR	DNA
TRANSIB3	0	0	1	0	transib3	TIR	DNA
TRANSIB4	1	0	1	1	transib4	TIR	DNA
