TEfam	TEpropCov	CE	CP	HE	HP	LE	LP	CE1	CE2	CE3	CE4	CP1	CP2	CP3	CP4	HE1	HE2	HE3	HE4	HP1	HP2	HP3	HP4	LE1	LE2	LE3	LE4	LP1	LP2	LP3	LP4	Mean_Early	Mean_Postponed	Mean_Control	Mean_High	Mean_Low	Diff_PostEarly	log2Rat_PostEarly	Diff_HighCont	Diff_HighLow	Diff_ContLow	log2Rat_HighCont	log2Rat_HighLow	log2Rat_ContLow	Diff_PostEarlyCont	Diff_PostEarlyHigh	Diff_PostEarlyLow	log2Rat_PostEarlyCont	log2Rat_PostEarlyHigh	log2Rat_PostEarlyLow	Df_Diet	F_value_Diet	PvalFull_Diet	Df_Breeding	F_value_Breeding	PvalFull_Breeding	Df_Inter	F_value_Inter	PvalFull_Inter	Df_resid	Df_Low	F_value_Low	Pval_Low	Df_Low_nested	F_value_Low_nested	Pval_Low_nested	Df_Low_resid	Df_Cont	F_value_Cont	Pval_Cont	Df_Cont_nested	F_value_Cont_nested	Pval_Cont_nested	Df_Cont_resid	Df_High	F_value_High	Pval_High	Df_High_nested	F_value_High_nested	Pval_High_nested	Df_High_resid	Bonf_Full	Bonf_Low	Bonf_Cont	Bonf_High	fb_id	source_id	flybase_name	species	te_name	te_type_gff	te_type_fasta	repbase_fasta_header_subtype	te_subtype_fasta	misc_subtype	repbase_species	percentage	match	synonym	repbase_meta	TEsubclass	TEclass	length	ConsSC	ConsCS	ConsSCav	ConsCSav	ConsSC_L	ConsCS_L	ConsSC_C	ConsCS_C	ConsSC_H	ConsCS_H
DMAURA	1	9.230096	9.277785	9.814935	8.782455	8.762431	9.505339	9.34191	8.795195	9.758755	9.024525	9.647145	9.173585	9.11195	9.17846	10.276835	9.876325	9.6323	9.47428	8.295795	8.520245	8.8847	9.42908	8.94671	8.912075	8.964575	8.226365	9.33589	9.48527	9.35296	9.847235	9.269	9.189	9.254	9.299	9.134	-0.081	-0.013	0.045	0.165	0.12	0.007	0.026	0.019	0.048	-1.032	0.743	0.007	-0.16	0.117	2	5.98	0.00255791940756651	1	4.01	0.0452438273754469	2	164.63	7.09087839106028e-70	4794	1	120.627537742986	4.21188114242291e-27	6	10.0868540006144	5.75769466632298e-11	1592	1	0.488851992031436	0.48454198641823	6	12.6828618017313	5.03502663442731e-14	1592	1	228.267362921808	2.68497025709486e-48	6	19.6410619571325	3.21146260654374e-22	1592	FALSE	TRUE	FALSE	TRUE	FBte0000112	nnnnnnnn	aurora-element	Dmel	aurora-element	LTR_retrotransposon	LTR	BEL	Bel-Pao	Pao	Drosophila_simulans	97.228	2	NA	BEL|LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|internal_portion|PAO_subgroup|NINJA_I.	LTR	RNA	4263	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
DMBARI1	1	27.209409	32.941198	34.663038	31.03046	26.680454	32.063459	33.558795	27.72017	30.51142	17.04725	33.978255	29.505965	34.24421	34.03636	38.241875	32.57538	33.79435	34.040545	28.683025	33.142005	33.59772	28.69909	29.22043	28.322735	24.152735	25.025915	35.6509	30.53495	28.55778	33.510205	29.518	32.012	30.075	32.847	29.372	2.494	0.117	2.771	3.475	0.703	0.127	0.161	0.034	5.732	-3.633	5.383	0.276	-0.16	0.265	2	156.28	1.77769999048531e-66	1	216.03	7.22136794331032e-48	2	326.25	1.44752070238387e-133	4794	1	553.226071259554	3.07980093743678e-105	6	76.1524847043514	9.47299605988908e-84	1592	1	566.415254828849	2.32196135829128e-107	6	244.99285390681	5.7228655729127e-222	1592	1	192.637972814951	1.97177170102266e-41	6	49.0315570604591	1.88452616185758e-55	1592	TRUE	TRUE	TRUE	TRUE	FBte0000034	X67681	Bari1	Dmel	Bari1	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|BARI_DM;DMBARI1|Mobile_genetic_element|transposon.	TIR	DNA	1728	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMBLPP	0.995	6.832083	7.906898	8.351301	7.972436	6.811121	7.075082	7.65912	6.95058	8.08163	4.637	7.737465	7.94159	8.02805	7.920485	9.50329	7.545995	8.006915	8.349005	7.83823	8.726145	7.719135	7.606235	7.01398	6.572945	6.84236	6.8152	7.242725	6.9647	6.999255	7.09365	7.332	7.651	7.369	8.162	6.943	0.32	0.062	0.792	1.219	0.426	0.147	0.233	0.086	1.075	-0.379	0.264	0.211	-0.067	0.055	2	18.75	7.72358756705916e-09	1	3.76	0.0524163947801935	2	6.5	0.00151136115700959	4794	1	1.00984863808253	0.315091815741276	6	0.175438803577629	0.983498281839224	1592	1	14.4231430746807	0.000151482152656634	6	7.41049955172439	7.70793073050047e-08	1592	1	1.53639395122239	0.215338044593396	6	2.56759856311461	0.0176971400638458	1592	FALSE	FALSE	FALSE	FALSE	FBte0000660	Z27119	flea	Dmel	flea	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	1	Gypsy|LTR_Retrotransposon|Transposable_Element|BLASTOPIA_I;BLASTOPIA_LTR|Gypsy_superfamily|gag|pol|internal_portion.	LTR	RNA	5034	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMCR1A	1	53.608236	65.604022	66.260934	64.0987	60.184618	65.073575	66.234315	59.4831	65.83103	22.8845	66.5757	62.692925	67.16737	65.980095	70.012715	65.90401	65.07837	64.04864	62.11152	64.96819	65.30215	64.01294	62.37678	61.469905	58.67821	58.213575	66.834675	65.34976	61.8245	66.285365	60.018	64.925	59.606	65.18	62.629	4.908	0.113	5.574	2.551	-3.023	0.129	0.058	-0.071	11.996	-2.162	4.889	0.291	-0.048	0.113	2	32.1	1.41838836123429e-14	1	74.48	8.2326978523464e-18	2	51.66	6.37055227764622e-23	4794	1	29.0836499819592	7.97494210331197e-08	6	2.82037071729381	0.00983491252808722	1592	1	182.983504375352	1.51339130290824e-39	6	137.681705471541	1.18633577027088e-140	1592	1	5.26553814039295	0.0218812976937454	6	2.5018391601234	0.0205744262386374	1592	TRUE	TRUE	TRUE	FALSE	FBte0000140	nnnnnnnn	Cr1a	Dmel	Cr1a	non_LTR_retrotransposon	LINE	CR1	CR1	CR1	Drosophila_melanogaster	100	1	NA	CR1|Non-LTR_Retrotransposon|Transposable_Element;CR1_superfamily|DMCR1A|ORF1|ORF2.	non-LTR	RNA	4470	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DME278684	0.945	12.863902	13.333444	13.580986	12.263082	11.568248	13.094405	13.71271	12.319315	13.78109	11.642495	13.303335	13.1266	13.08464	13.8192	13.574645	12.713745	14.26825	13.767305	11.717985	12.40303	12.356035	12.57528	12.29193	11.433605	11.47702	11.070435	12.989515	13.02979	12.56787	13.790445	12.671	12.897	13.099	12.922	12.331	0.226	0.025	-0.177	0.591	0.767	-0.02	0.068	0.087	0.47	-1.318	1.526	0.052	-0.147	0.179	2	7.45	0.000589658767182325	1	1.77	0.184000670244984	2	23.83	5.04811344207235e-11	4794	1	29.4231632412501	6.71439803576596e-08	6	1.65788653840608	0.127681868106545	1592	1	2.38899103503651	0.122391220212421	6	3.33356481941065	0.00288316365583687	1592	1	19.8358237823445	9.02661950276782e-06	6	1.6007819822844	0.143116012096742	1592	FALSE	TRUE	FALSE	TRUE	FBte0000457	AJ278684	Rt1a	Dmel	Rt1a	non_LTR_retrotransposon	LINE	R1	R1	R1	Drosophila_melanogaster	98.01	1	NA	R1|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;RT1|DMRT1|DMRT1A|Waldo-B.	non-LTR	RNA	5108	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
DMHFL1	1	27.005389	26.152101	26.986905	26.554096	26.85617	28.114166	27.60034	24.589795	29.195495	26.635925	27.24012	26.825535	25.56807	24.97468	26.00506	28.06102	26.34131	27.54023	25.48664	26.94542	26.16298	27.621345	27.966435	28.686535	25.58565	25.18606	27.46224	29.61504	27.968625	27.41076	26.949	26.94	26.579	26.771	27.485	-0.009	-0.001	0.192	-0.715	-0.906	0.01	-0.038	-0.048	-0.853	-0.433	1.258	-0.046	-0.023	0.066	2	23.96	4.43682837133896e-11	1	0.01	0.933761921877486	2	32.78	7.25305228675716e-15	4794	1	43.1589707767636	6.81634509530103e-11	6	27.6807988316697	1.44025852003158e-31	1592	1	21.2599604925492	4.33063994304398e-06	6	35.2504046766982	3.36349987848209e-40	1592	1	5.55322136284672	0.0185672827222586	6	13.4027795954202	7.11975478990378e-15	1592	FALSE	TRUE	TRUE	FALSE	FBte0000154	M69216	hobo	Dmel	hobo	terminal_inverted_repeat_element	DNA	hAT	hAT	hAT	Drosophila_melanogaster	99.791	1	NA	hAT|DNA_transposon|Transposable_Element|DMHOBOG|HOBO;Autonomous_DNA_transposon|hAT_superfamily|transposase.	TIR	DNA	2959	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMIFACA	1	26.830405	31.612492	34.22368	30.361134	27.809901	31.337567	32.46103	31.73611	33.769125	9.355355	34.39691	30.05506	32.13456	29.86344	34.35476	34.21546	33.12691	35.19759	29.436945	30.928595	31.09736	29.981635	28.77289	27.718005	27.40226	27.34645	31.000865	32.447605	29.684195	32.217605	29.621	31.104	29.221	32.292	29.574	1.482	0.07	3.071	2.719	-0.352	0.144	0.127	-0.017	4.782	-3.863	3.528	0.237	-0.173	0.172	2	85.53	3.18131606931632e-37	1	49.91	1.84056636592468e-12	2	165.19	4.19491771039177e-70	4794	1	158.227247151981	1.15774069414652e-34	6	6.53791106500175	7.83167546395271e-07	1592	1	263.22067104663	6.71593787912619e-55	6	405.547924850584	2.47899389360147e-316	1592	1	155.026743408367	5.01564337068064e-34	6	3.4903868994856	0.00196666070122535	1592	TRUE	TRUE	TRUE	TRUE	FBte0000133	M14954	I-element	Dmel	I-element	non_LTR_retrotransposon	LINE	I	I	I	Drosophila_melanogaster	99.963	1	NA	I|Non-LTR_Retrotransposon|Transposable_Element|DMI|I_DM.	non-LTR	RNA	5371	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
DMLINEJA	1	36.065981	47.781559	47.102844	45.929654	43.690542	46.792099	44.092965	44.13848	44.67676	11.35572	49.43167	47.88079	48.40869	45.405085	46.441755	46.842095	46.56712	48.560405	45.03167	48.028715	45.286165	45.372065	47.02	43.15217	43.31228	41.27772	45.855355	47.4045	46.40836	47.50018	42.286	46.834	41.924	46.516	45.241	4.548	0.147	4.592	1.275	-3.318	0.15	0.04	-0.11	11.716	-1.173	3.102	0.406	-0.036	0.099	2	36.99	1.14653517405815e-16	1	102.09	9.16539160780218e-24	2	70.91	4.48758005646726e-31	4794	1	18.1548322242126	2.15582261340446e-05	6	3.02608585190412	0.00604405504858397	1592	1	283.226347601995	1.27578737473594e-58	6	141.541866521171	6.22980176334494e-144	1592	1	2.50922583584829	0.113380132840093	6	1.34511008920706	0.233713218455075	1592	TRUE	TRUE	TRUE	FALSE	FBte0000088	M22874	jockey	Dmel	jockey	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;LINE_repetitive_sequence|dispersed_repetitive_element;long_interspersed_element|J1|LINEJ1_DM.	non-LTR	RNA	5020	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
DMPOGOR11	1	20.47091	26.1423	26.690874	24.759972	25.647774	26.414935	23.920665	25.232015	25.104985	7.625975	28.65373	25.26176	26.61413	24.03958	27.7194	24.771335	27.36095	26.91181	24.022265	25.336295	24.40229	25.27904	26.60655	25.78809	25.8533	24.343155	27.050375	27.60504	24.161975	26.84235	24.27	25.772	23.307	25.725	26.031	1.503	0.087	2.419	-0.306	-2.725	0.142	-0.017	-0.16	5.671	-1.931	0.767	0.353	-0.108	0.043	2	135.2	7.59149287748099e-58	1	102.74	6.63154554177835e-24	2	225.34	2.9399865076372e-94	4794	1	14.5409899843273	0.000142376180973167	6	20.098881762439	9.33379334514813e-23	1592	1	839.931251993302	1.14997358053102e-148	6	506.520131471383	0	1592	1	89.7904357504954	9.22000521094075e-21	6	13.0731125232564	1.74385886166537e-14	1592	TRUE	TRUE	TRUE	TRUE	FBte0000568	X59837	pogo	Dmel	pogo	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Pogo	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element|pogo;transposon.	TIR	DNA	2121	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMREPG	0.985	6.647125	6.969066	7.668132	6.580732	6.901637	7.298662	7.201205	6.804435	7.304705	5.278155	7.275145	6.872145	6.85545	6.873525	7.89617	7.489375	7.74845	7.538535	6.04515	6.513895	6.70451	7.059375	7.175615	6.73591	7.151535	6.54349	6.848695	7.118885	7.978185	7.248885	7.072	6.949	6.808	7.124	7.1	-0.123	-0.025	0.316	0.024	-0.292	0.066	0.005	-0.061	0.322	-1.087	0.397	0.068	-0.221	0.081	2	7.38	0.000633648008605841	1	2.69	0.100922940857397	2	41.6	1.22608474483273e-18	4794	1	9.80115696414684	0.00177571363266013	6	5.14148929101297	3.03225162807316e-05	1592	1	6.06591622464874	0.0138867117743262	6	13.4771718427751	5.81661730221141e-15	1592	1	73.6022412873131	2.23080259919983e-17	6	3.33502925062874	0.00287292495992163	1592	FALSE	FALSE	FALSE	TRUE	FBte0000657	X06950	G-element	Dmel	G-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;G_LINE-like_retrotransposon|G_DM|ORF1|ORF2.	non-LTR	RNA	4346	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
DMRER1DM	1	166.044364	148.001415	169.973772	144.604365	139.325886	155.186338	160.713755	141.706705	163.26594	198.491055	153.366345	143.671925	149.35329	145.6141	195.332985	163.23377	163.12581	158.202525	146.211955	135.6595	145.30818	151.237825	149.022855	144.896455	138.156505	125.22773	162.72918	149.991575	149.52674	158.497855	158.448	149.264	157.023	157.289	147.256	-9.184	-0.086	0.266	10.033	9.767	0.002	0.095	0.093	-18.043	-25.369	15.86	-0.166	-0.233	0.156	2	72.18	1.30468340430109e-31	1	139.69	8.56783082500656e-32	2	267.1	1.04272179136004e-110	4794	1	185.328046387366	5.26232079409147e-40	6	27.7542710876171	1.18529285646016e-31	1592	1	199.731993923923	8.25086610259583e-43	6	88.771934346167	3.41097060529965e-96	1592	1	439.094858154682	2.66647734181034e-86	6	56.9140788897577	6.62311807129743e-64	1592	TRUE	TRUE	TRUE	TRUE	FBte0000118	X51968	R1A1-element	Dmel	R1A1-element	non_LTR_retrotransposon	LINE	Non-LTR_Retrotransposon	?	R1	Drosophila_melanogaster	100	1	NA	Non-LTR_Retrotransposon|Transposable_Element|transposon;reverse_transcriptase|integrase|retrotransposon|DMR1|R1_DM.	non-LTR	RNA	5356	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
DMRER2DM	1	15.03318	16.12629	18.748546	15.023058	13.670225	17.139796	16.19871	13.88986	17.02377	13.02038	16.08861	16.020335	16.960275	15.43594	23.00824	16.495145	18.021985	17.468815	13.583675	18.335245	15.09421	13.0791	15.36785	15.72521	11.978545	11.609295	19.88169	16.722275	14.923765	17.031455	15.817	16.096	15.58	16.886	15.405	0.279	0.025	1.306	1.481	0.175	0.116	0.132	0.016	1.093	-3.725	3.47	0.101	-0.32	0.326	2	31.24	3.32334210803816e-14	1	2.79	0.0951498199557274	2	160.27	4.21771073285493e-68	4794	1	169.417762607014	7.03168054919275e-37	6	31.465140522996	6.62453728903912e-36	1592	1	16.8034498000262	4.35475057106629e-05	6	13.9036372029068	1.82546103292728e-15	1592	1	163.403300241647	1.0876794698009e-35	6	41.4169720109011	4.24247781568541e-47	1592	FALSE	TRUE	TRUE	TRUE	FBte0000030	X51967	R2-element	Dmel	R2-element	non_LTR_retrotransposon	LINE	R2	R2	R2	Drosophila_melanogaster	100	1	NA	R2|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|protease|integrase|retrotransposon|LINE;R2_DM.	non-LTR	RNA	3607	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMTHB1	1	9.337519	12.11515	11.946856	11.722275	11.611585	12.196402	11.588005	11.29006	11.563445	2.908565	12.079215	12.014515	12.5436	11.82327	12.304135	11.57329	11.941725	11.968275	11.3592	11.895985	11.6917	11.942215	11.66936	11.45419	11.559285	11.763505	12.089145	12.685545	11.476165	12.534755	10.965	12.011	10.726	11.835	11.904	1.046	0.131	1.108	-0.069	-1.178	0.142	-0.008	-0.15	2.778	-0.225	0.585	0.376	-0.027	0.071	2	22.7	1.54011863353729e-10	1	42.66	7.1965688926396e-11	2	31.36	2.94382043246411e-14	4794	1	4.65663708162088	0.0310828655767932	6	1.06417725616905	0.381964019898602	1592	1	116.993487785546	2.31671142044504e-26	6	70.0618754244063	1.38495419664849e-77	1592	1	0.677567929274472	0.410548741864676	6	0.536232165822962	0.781006512628498	1592	TRUE	FALSE	TRUE	FALSE	FBte0000414	X01748	HB	Dmel	HB	terminal_inverted_repeat_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	1	Mariner/Tc1|DNA_transposon|Transposable_Element;Repetitive_sequence|transposon|unidentified_reading_frame;DMFB4|FB4_DM.	TIR	DNA	1653	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
DMTN1731	0.98	7.257319	8.33773	8.479224	7.466836	6.327282	7.164002	7.71652	7.561175	8.15197	5.59961	8.682135	7.51518	8.388925	8.76468	9.681235	8.83292	7.469005	7.933735	7.64283	7.67786	7.58324	6.963415	6.55682	6.746735	5.85125	6.154325	7.4613	7.019485	6.616585	7.55864	7.355	7.656	7.798	7.973	6.746	0.302	0.058	0.176	1.227	1.052	0.032	0.241	0.209	1.08	-1.012	0.837	0.2	-0.183	0.179	2	75.65	4.49682717763163e-33	1	11.71	0.000626291081903589	2	56.22	7.36174031481642e-25	4794	1	39.3069904160273	4.65358016346314e-10	6	4.91185017710049	5.48345709543068e-05	1592	1	47.4628838902667	8.04610248545941e-12	6	16.3717465003611	2.24082720248527e-18	1592	1	41.1789777607462	1.82771030577066e-10	6	10.8161610730528	7.98849195413244e-12	1592	FALSE	TRUE	TRUE	TRUE	FBte0000003	X07656	1731	Dmel	1731	LTR_retrotransposon	LTR	Copia	Copia	Copia	Drosophila_melanogaster	100	1	NA	Copia|LTR_Retrotransposon|Transposable_Element|LTR|gag;retrotransposon|internal_portion|gene|DM1731|DM1731_LTR;DM1731_I.	LTR	RNA	4648	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMTNFB	0.945	1.513159	1.973189	1.979514	1.942541	1.725916	2.118743	1.836395	2.168135	1.56421	0.483895	1.90626	1.860015	2.09318	2.0333	1.62838	1.97289	2.28968	2.027105	1.996465	2.03008	2.05404	1.68958	1.924465	1.66353	1.671855	1.643815	1.93033	2.250825	1.92618	2.367635	1.74	2.011	1.743	1.961	1.922	0.272	0.21	0.218	0.039	-0.179	0.17	0.029	-0.141	0.46	-0.037	0.393	0.383	-0.027	0.296	2	39.39	1.07398500532609e-17	1	161.76	1.8044536926989e-36	2	53.01	1.70184864837196e-23	4794	1	133.191005168124	1.19718919512436e-29	6	14.7414433444416	1.87392674986524e-16	1592	1	182.625400720164	1.77860744589348e-39	6	117.273239730522	8.81335704735749e-123	1592	1	1.19930961040693	0.273625358220581	6	22.577107137195	1.18424221740574e-25	1592	TRUE	TRUE	TRUE	FALSE	FBte0000288	V00246	FB	Dmel	FB	foldback_element	DNA	Mariner/Tc1	Tc1-Mariner	Tc1	Drosophila_melanogaster	100	1	NA	Mariner/Tc1|DNA_transposon|Transposable_Element;Repetitive_sequence|transposon|unidentified_reading_frame;DMFB4|FB4_DM.	FB	DNA	1106	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
DMTOM1_LTR	1	5.788211	6.996166	7.161665	6.768836	6.207072	6.985395	6.83026	6.42404	6.850895	3.04765	6.93083	6.469635	7.50059	7.08361	7.612835	6.94445	7.04413	7.045245	6.224885	6.679865	6.957335	7.21326	6.332465	6.433875	6.12681	5.93514	7.17704	7.042265	6.620025	7.10225	6.386	6.917	6.392	6.965	6.596	0.531	0.115	0.573	0.369	-0.204	0.124	0.079	-0.045	1.208	-0.393	0.778	0.273	-0.081	0.17	2	37.33	8.16963656168329e-17	1	93.62	6.04726652816607e-22	2	75.94	3.41501518140698e-33	4794	1	81.3909831617692	5.19235524560417e-19	6	3.7470139778143	0.00104490011878778	1592	1	195.447240783595	5.60191458661082e-42	6	119.141261516833	1.86587594040266e-124	1592	1	17.9435158298646	2.40588192441103e-05	6	7.89677233255542	2.10090511337339e-08	1592	TRUE	TRUE	TRUE	TRUE	FBte0000400	NA	Tom1	Dmel	Tom1	LTR_retrotransposon	LTR	Gypsy	Gypsy	Gypsy	Drosophila_melanogaster	100	1	NA	Gypsy|LTR_Retrotransposon|Transposable_Element|DMTOM1_I;DMTOM1_LTR|Gypsy_group|Gypsy_superfamily;endogenous_retrovirus.	LTR	RNA	410	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
DMTRDNA	1	13.60527	16.021822	16.614873	16.266605	14.877838	16.020405	15.68129	15.561135	16.18909	6.989565	15.4443	15.97747	16.378405	16.287115	17.94711	15.546565	16.18771	16.778105	16.42642	16.33832	16.22251	16.07917	15.423	15.25617	14.6362	14.19598	15.60805	16.400635	15.56344	16.509495	15.033	16.103	14.814	16.441	15.449	1.07	0.099	1.627	0.992	-0.636	0.15	0.09	-0.061	2.417	-0.348	1.143	0.236	-0.031	0.107	2	110.5	1.21213969230232e-47	1	141.17	4.16122344504464e-32	2	78.66	2.42924532979079e-34	4794	1	76.6092298751592	5.20993704691452e-18	6	8.44210507363166	4.86447770721343e-09	1592	1	356.408693169402	6.75942021793673e-72	6	300.642275457416	1.16198226758968e-257	1592	1	6.13470525242334	0.0133585700942283	6	13.4581975175381	6.12439557132609e-15	1592	TRUE	TRUE	TRUE	FALSE	FBte0000670	X80025	hopper	Dmel	hopper	terminal_inverted_repeat_element	DNA	Transib	Transib	Transib	Drosophila_melanogaster	100	1	1	Transib|DNA_transposon|Transposable_Element|Nonautonomous;nonautonomous_DNA_transposon|TIR|DMTRDNA|M4DM.	TIR	DNA	1435	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
DMW1DOC	1	29.959501	37.847366	37.45167	33.485512	32.018161	35.990237	35.34057	34.750875	37.000055	12.746505	38.784715	36.84345	38.360755	37.400545	40.33718	36.75412	35.877155	36.838225	32.199205	34.49356	34.37413	32.875155	33.598345	32.05135	31.20457	31.21838	35.401085	36.48342	34.6234	37.453045	33.143	35.774	33.903	35.469	34.004	2.631	0.11	1.565	1.464	-0.101	0.065	0.061	-0.004	7.888	-3.966	3.972	0.337	-0.161	0.169	2	8.89	0.000140063740345831	1	60.15	1.0638471637864e-14	2	105.65	1.26242571332536e-45	4794	1	54.4692700984135	2.53199551333392e-13	6	2.41609082698798	0.025003100612318	1592	1	204.550014329795	9.62966156452577e-44	6	109.619807353464	7.7533209380827e-116	1592	1	50.2952037603426	1.98213421510685e-12	6	4.1301647810974	0.000401266238952611	1592	TRUE	TRUE	TRUE	TRUE	FBte0000341	X17551	Doc	Dmel	Doc	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|ORF1|ORF2;LINE-like_retrotransposon|DOC.	non-LTR	RNA	4725	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
DOC2	1	12.861835	15.181551	15.552271	14.121548	13.92548	15.008923	15.753945	13.924755	15.637685	6.130955	15.7682	13.93831	15.641905	15.37779	16.444065	15.21379	15.41075	15.14048	13.675495	14.64618	14.28615	13.878365	14.2635	14.03182	13.58887	13.81773	15.34486	14.760255	14.17398	15.756595	14.113	14.771	14.022	14.837	14.467	0.657	0.066	0.815	0.37	-0.446	0.082	0.036	-0.045	2.32	-1.431	1.083	0.239	-0.139	0.108	2	24.15	3.67215702664712e-11	1	46.99	8.05028247945311e-12	2	132.34	1.13836976940347e-56	4794	1	60.3091778787512	1.44154877498446e-14	6	7.1984575677559	1.3564585993568e-07	1592	1	254.911656995911	2.4255394277628e-53	6	255.193625816145	8.58799262594417e-229	1592	1	96.6205367387611	3.53920792565862e-22	6	6.52917766722452	8.01466851289637e-07	1592	TRUE	TRUE	TRUE	TRUE	FBte0000103	nnnnnnnn	Doc2-element	Dmel	Doc2-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	99.917	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element|DOC;DOC2_DM|JOCKEY_clade|gag|reverse_transcriptase.	non-LTR	RNA	4789	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
DOC3	1	21.176234	24.093567	25.12744	23.085505	22.319719	24.0332	24.648065	23.131065	25.4245	11.501305	24.10125	24.741775	24.165645	23.3656	25.666835	24.415065	25.697745	24.730115	22.027145	22.957915	23.64885	23.70811	23.759395	22.822185	21.62397	21.073325	25.05911	24.51299	22.102835	24.457865	22.874	23.737	22.635	24.106	23.176	0.863	0.053	1.472	0.93	-0.542	0.091	0.057	-0.034	2.917	-2.042	1.713	0.186	-0.122	0.107	2	26.84	2.57274827857798e-12	1	27.06	2.05824830942208e-07	2	81.03	2.44962046069182e-35	4794	1	43.7114015872178	5.17850862114752e-11	6	11.8508919328142	4.82316606688584e-13	1592	1	126.42304811701	2.8010065250441e-28	6	159.04362380251	1.99357711270255e-158	1592	1	59.7120872107326	1.93104132888863e-14	6	3.72701192196254	0.00109798721187845	1592	TRUE	TRUE	TRUE	TRUE	FBte0001140	nnnnnnnn	Doc3-element	Dmel	Doc3-element	non_LTR_retrotransposon	LINE	Jockey	Jockey	Jockey	Drosophila_melanogaster	100	1	NA	Jockey|Non-LTR_Retrotransposon|Transposable_Element;reverse_transcriptase|gag|DOC|JOCKEY_clade|DOC3_DM.	non-LTR	RNA	4740	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
