Sex_M_vs_F.baseMean	Sex_M_vs_F.log2FoldChange	Sex_M_vs_F.lfcSE	Sex_M_vs_F.stat	Sex_M_vs_F.pvalue	Sex_M_vs_F.padj	Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj
OPUS	2776.43546223645	2.03504343461065	0.118626154687657	17.155099058626	5.75718101563347e-66	1.14059935728431e-65	2776.43546223645	0.736395074556454	0.118625068310509	6.20775258589433	5.37476794950956e-10	8.50231043563246e-09	2776.43546223645	0.145137651292609	0.118624812281669	1.22350163090658	0.221140288568474	0.391209930822498
1360	2620.10091594592	1.29633402324456	0.106613307272981	12.1592140456288	5.12493797260557e-34	7.92332244735353e-34	2620.10091594592	0.246928762064849	0.106612896521041	2.31612469150124	0.0205514615043109	0.0436852361331731	2620.10091594592	0.012863176466544	0.106612890142932	0.120653107230268	0.903965802568621	0.949465018564075
AF222049	2529.43716000037	1.68581549413704	0.201707225713345	8.35773477214359	6.3933984658233e-17	8.3571833847702e-17	2529.43716000037	0.0936289805573625	0.201707050780916	0.464182983167295	0.642516651928514	0.727135502383841	2529.43716000037	-0.656496681804762	0.201707088396209	-3.25470307972132	0.00113510972586071	0.00624403773892185
DMIS297	2404.71686152846	1.38073952704766	0.0805620865212835	17.1388253044176	7.61740775520091e-66	1.50824899220516e-65	2404.71686152846	-0.602182629817988	0.0805613143068643	-7.47483621635351	7.73000682359571e-14	2.34301590047628e-12	2404.71686152846	-0.160811191413186	0.080560624495299	-1.99615125156546	0.0459174617938453	0.121926641199509
DMCR1A	2357.7749774223	1.14746364087165	0.0925735730371693	12.3951534247353	2.77613889642945e-35	4.33208599446329e-35	2357.7749774223	0.295860340410836	0.0925730225341629	3.19596716529	0.00139362970350266	0.00424923545773723	2357.7749774223	-0.239982728617464	0.0925730076550935	-2.59236179850164	0.00953194701279582	0.0352750652602552
RT1B	2342.2645551681	1.59355423526297	0.115834291127143	13.7571889960792	4.61109749372846e-43	7.68343807014065e-43	2342.2645551681	0.0339184866542792	0.115833469538091	0.292821123199847	0.769658881619864	0.831423167174133	2342.2645551681	-0.450593114482161	0.115833552129161	-3.89000515135479	0.000100242094032635	0.000822551301985412
DMRTMGD1	2111.69097746339	0.599532738537146	0.131816427946579	4.5482399111901	5.40964457079856e-06	6.16249522565744e-06	2111.69097746339	0.905641986253226	0.131816601151654	6.87046986753431	6.3990780001008e-12	1.40998631118447e-10	2111.69097746339	-0.867543900633407	0.131816583445388	-6.58144732595678	4.65890564863766e-11	2.63879626293812e-09
BLOOD	2080.54243432449	0.47453110826173	0.148377591320443	3.19813190144671	0.00138320997111068	0.00151019910837511	2080.54243432449	-0.0231086815180292	0.148377566199704	-0.155742421916577	0.876236057289298	0.91526509164539	2080.54243432449	-1.61542561777167	0.148378164389751	-10.8872193183921	1.32628092597259e-27	1.04284689043974e-24
SPRINGER	2065.80898583203	0.719473867466313	0.311260843661673	2.3114820965028	0.0208062409469365	0.0221801597206875	2065.80898583203	1.77513507984066	0.311260931332304	5.70304494124102	1.17685937680163e-08	1.39213091059358e-07	2065.80898583203	-0.379932189252788	0.311260832826904	-1.22062318539151	0.222228723639236	0.392823505538967
DMTN1731	2047.42327778795	2.45902768996645	0.0976127066708022	25.1916761027792	4.94197980536743e-140	1.65396705203672e-139	2047.42327778795	0.445376906325438	0.0976050401113613	4.56305233640897	5.04152406178767e-06	3.08845335169183e-05	2047.42327778795	0.283539248318838	0.0976049478030714	2.90496798267757	0.00367290669619503	0.0163550786729394
F	1986.07500509893	1.30856701648625	0.099122260865959	13.2015452942079	8.59535207837353e-40	1.39333096327455e-39	1986.07500509893	0.247390436336643	0.0991212633106365	2.49583619168921	0.0125660615695237	0.0286345968291551	1986.07500509893	-0.412805565337405	0.0991213502667409	-4.16464832477083	3.11832848459858e-05	0.000314823994362758
DM14101	1698.79651830813	1.43930020461726	0.121530327240201	11.8431360904058	2.33553299537673e-32	3.55651282173624e-32	1698.79651830813	0.164658718697962	0.121529214865059	1.35489000633134	0.175452604150083	0.262658187890487	1698.79651830813	0.8871777713375	0.121530113544283	7.30006535387819	2.8762798421336e-13	2.38802687265837e-11
DM23420	1700.81464034438	1.22139845140631	0.0843166107458944	14.4858580130461	1.48852235192558e-47	2.56339581012487e-47	1700.81464034438	0.330366541282299	0.0843149526814475	3.91824380819456	8.91964632663222e-05	0.000385479833327168	1700.81464034438	-0.208362332216041	0.0843148616438525	-2.47124087205607	0.0134645092957713	0.0465250211624602
DME9736	1675.65202169959	1.87941950133348	0.100237221013108	18.7497167453167	1.94624847471425e-78	4.22535380242088e-78	1675.65202169959	0.574734596437451	0.100233350290247	5.73396573868066	9.81091577705021e-09	1.18359667140641e-07	1675.65202169959	-0.0947634771463674	0.100232745027944	-0.945434320091186	0.34443718764482	0.530058932448573
412	1587.54612906619	0.764892396720573	0.0798096650029259	9.58395698932617	9.33965052191629e-22	1.27860619138115e-21	1587.54612906619	-0.260147293779695	0.079809496172119	-3.25960325847259	0.00111568159925971	0.00351397642255054	1587.54612906619	-0.199554764875947	0.0798091665779528	-2.5003990573067	0.0124053480351428	0.0435801017570971
ROOA_LTR	1550.92854655501	0.500714161005758	0.0631525695458397	7.92864272359198	2.21553933289794e-15	2.84979929396139e-15	1550.92854655501	0.414841223390837	0.0631526183955555	6.56886814719994	5.06991519293826e-11	9.5990873065164e-10	1550.92854655501	-0.110571154868698	0.063152276471292	-1.75086570187161	0.0799690459707688	0.185839053805853
DOC3	1463.64326930043	1.05420155923913	0.0712377190188904	14.7983620721991	1.50093207070462e-49	2.62741736368631e-49	1463.64326930043	0.219725747211547	0.0712352190389731	3.08451002433689	0.00203887739040364	0.00592342405510224	1463.64326930043	-0.303668608645011	0.0712353402170746	-4.26289265580323	2.01797472234117e-05	0.000218592124096713
DME010298	1461.75594005386	1.56459027200308	0.114964133951628	13.6093772746672	3.52232213921613e-42	5.83575607770229e-42	1461.75594005386	0.541124255229794	0.114962228390135	4.70697430632117	2.51420582628395e-06	1.67284167645284e-05	1461.75594005386	-0.349565128522075	0.114962006971524	-3.04070133890982	0.00236027826301343	0.0114635505569042
PPI251	1370.48354013025	0.773552800530557	0.123395325347293	6.26889874760987	3.63610460477428e-10	4.391381482835e-10	1370.48354013025	0.24723475977022	0.123395139634972	2.00360209082458	0.0451127017161845	0.0846714633165722	1370.48354013025	0.230036544952817	0.123395230097081	1.86422558450465	0.0622900319502468	0.15459169273653
QUASIMODO	1467.13582164273	2.3691649706448	0.0844063890155269	28.0685502398282	2.37205917130494e-173	9.69346222648522e-173	1467.13582164273	0.275346214164735	0.0843861381052601	3.26293180784358	0.00110266048781021	0.00348198978042973	1467.13582164273	-0.32875562682702	0.0843863603819406	-3.89583844283651	9.78596059522932e-05	0.000807462563434755
AY561850	1376.79537852367	1.24033083389968	0.133181990390178	9.31305223976549	1.24210535931876e-20	1.68253165160254e-20	1376.79537852367	0.303393959725929	0.133181257153707	2.27805297990074	0.0227234212402516	0.0475287836524284	1376.79537852367	0.671891069613984	0.133181761425592	5.04491803098255	4.53715833586055e-07	9.19913895385468e-06
STALKER2	1430.22457763536	1.48531278735707	0.206659136094123	7.18725924935922	6.61048210392859e-13	8.25893207619529e-13	1430.22457763536	0.35343174962259	0.206658825381128	1.71021851581116	0.0872254730317658	0.147308009856679	1430.22457763536	-0.430243549681924	0.206658838626263	-2.08190248499368	0.0373513777640729	0.103770056323697
GYPSY4	1084.52443810237	1.09640707941038	0.0921682865843521	11.8957086004517	1.24591015844226e-32	1.90028309994269e-32	1084.52443810237	0.296056732181537	0.0921659658131419	3.21221320223308	0.00131716586948161	0.00405400786952812	1084.52443810237	-0.295310359043012	0.0921659697648918	-3.20411492220313	0.00135478387064971	0.00721489880437237
INVADER2	988.540541345074	1.0721412564701	0.0848337637999533	12.6381432161648	1.30089798464861e-36	2.05666509293885e-36	988.540541345074	0.240981171564069	0.084830318290719	2.84074345610977	0.00450085036381205	0.0117989540719897	988.540541345074	-0.343155419728258	0.0848305503131652	-4.04518676893462	5.22814264237552e-05	0.000482628333567911
Tinker	922.108005371064	0.168044447885978	0.121006350866273	1.38872420069661	0.164916632222112	0.171138935091451	922.108005371064	0.416605225860507	0.121006411488341	3.44283596824658	0.000575648352228639	0.0019639335181828	922.108005371064	0.297419160649395	0.121006676227975	2.45787397787096	0.0139762208609272	0.0479148869576849
BAGGINS	942.998190546077	1.32336104925592	0.118543650827093	11.1634915916851	6.15266967882157e-29	9.06855613593648e-29	942.998190546077	0.237709433580826	0.118541059855779	2.00529195428175	0.0449318444594327	0.0843900470548317	942.998190546077	-0.307801605607384	0.118541134015311	-2.59658057234065	0.00941568198157594	0.0349367331768757
DM06920	695.878393856344	1.03358485840475	0.142601336051982	7.24807275317519	4.22743536993059e-13	5.29598206090554e-13	695.878393856344	0.297617019349639	0.142600145576639	2.08707374137769	0.0368814692711269	0.0716249600097564	695.878393856344	0.160965069436643	0.142600227578034	1.12878550175216	0.258988330143226	0.43738433468408
DOC2	732.051949475076	1.61632208853933	0.128310397909733	12.5969688729079	2.19415688124732e-36	3.46109216800011e-36	732.051949475076	0.287516326837044	0.128304051736469	2.24089826428544	0.0250326657147014	0.0515580343002179	732.051949475076	-0.323857927867324	0.128304134917854	-2.52414256231626	0.0115980883605619	0.0414190881954665
Beagle2	686.030506576691	0.760374409560927	0.123345138185197	6.16460786982347	7.06580168123334e-10	8.50504917361964e-10	686.030506576691	0.41907578859893	0.123344600891532	3.39760139941157	0.000679793898199977	0.0022745444398596	686.030506576691	0.120328759326623	0.12334449859427	0.975550273404841	0.329287376967952	0.515444769527556
JUAN	648.592846963665	1.08635953459418	0.144813858708037	7.50176498496883	6.29641885521725e-14	7.97311773756053e-14	648.592846963665	0.582703699337269	0.144812662602047	4.02384493777709	5.72556226856864e-05	0.000259700002863783	648.592846963665	0.0926548076806432	0.144812112680272	0.639827746213564	0.522284591969855	0.69088353694815
ACCORD	621.771786043779	0.832050030606286	0.135496534751788	6.14074767395707	8.21339630360151e-10	9.87395164945062e-10	621.771786043779	0.399393927448132	0.135495768788733	2.94764870533244	0.00320200706797959	0.00875459776594052	621.771786043779	-0.0601420357082627	0.13549552489594	-0.443867321481292	0.657138512030612	0.793493269224317
DMDM11	647.042606643459	2.00144425854689	0.165473686521891	12.0952418515322	1.11912194046238e-33	1.72282655512618e-33	647.042606643459	0.245594482332068	0.165466261988979	1.48425714934218	0.13774071361472	0.215481117964264	647.042606643459	-0.256352627155879	0.165466281700561	-1.54927411507192	0.121315839487664	0.254173797246333
DMMDG3	615.127894715123	1.1551798156802	0.106311203304985	10.8660214518146	1.6733994882826e-27	2.43213340870648e-27	615.127894715123	0.315678467830696	0.10630577528937	2.96953262389933	0.00298253141104422	0.00824562645896087	615.127894715123	-0.233883486332926	0.106305553946615	-2.20010599305451	0.0277993757828253	0.0825581550964288
TABOR	610.53137285109	2.10945521879709	0.0955747334943535	22.071264461561	5.9698532603078e-108	1.60820291274757e-107	610.53137285109	-0.13603057658307	0.0955260190771829	-1.42401596860391	0.15444184957784	0.236881721549856	610.53137285109	-0.051637942082719	0.0955250376419155	-0.540569711956447	0.588804199005823	0.744611705592321
TC1-2	592.099714739359	0.817328863447033	0.0579201313459501	14.111308874029	3.23517140004758e-45	5.48510097722425e-45	592.099714739359	0.219931842426571	0.0579076473887624	3.79797578288859	0.000145882572351318	0.000589662033450278	592.099714739359	-0.157179655913582	0.0579073042899677	-2.71433211821628	0.00664095507917563	0.0264431476149362
ROVER	585.759049743854	1.20230533347986	0.112242342234791	10.7116914128971	8.97076326915796e-27	1.29424924575105e-26	585.759049743854	-0.0210817958522174	0.112236661425645	-0.187833418995483	0.851007237440486	0.895349369765208	585.759049743854	-0.292980740076165	0.112236846223197	-2.61037929998083	0.00904418814803598	0.0338258710058189
DMIS176	577.927711252821	0.957576675077572	0.111499151929683	8.58819693697283	8.83447474314574e-18	1.16494449927621e-17	577.927711252821	0.456015666671356	0.111496446445318	4.08995695566857	4.31453252265397e-05	0.000202714784640828	577.927711252821	-0.365921902412324	0.111496064097884	-3.2819266345678	0.00103100426241096	0.0057856565808763
ROXELEMENT	542.922983355855	0.97304173302167	0.0843723383128019	11.5327102754248	9.02567914780814e-31	1.35283979781062e-30	542.922983355855	0.0906251367987921	0.0843642683214854	1.07421232474214	0.282727529748774	0.386977154428821	542.922983355855	-0.0783478313703122	0.0843642714583997	-0.928684975475024	0.35305236934171	0.538291180242407
BS	497.75802414049	1.00369034730267	0.155950215329612	6.43596640877541	1.22690167167425e-10	1.48914870110502e-10	497.75802414049	0.0345702136105607	0.155948049013694	0.221677756337465	0.824564747184605	0.875055898530625	497.75802414049	-0.732816967936991	0.15594953965473	-4.69906464334194	2.6135572539746e-06	4.00420612092294e-05
DMIFACA	493.071793701564	1.21892274172511	0.123785185629663	9.84708093722818	7.05636124872708e-23	9.77636617037052e-23	493.071793701564	0.396698286867272	0.123778893843921	3.20489442543806	0.0013511202913574	0.00414134944613033	493.071793701564	-0.326814381432593	0.12377859625346	-2.64031416839936	0.00828292039040842	0.0316155901937719
TAHRE	453.985344158768	0.6090133112674	0.127423278523952	4.7794509631372	1.75774535532073e-06	2.01836458762754e-06	453.985344158768	0.337543066476803	0.127422789484237	2.64900076228955	0.00807301495478085	0.0195779682900321	453.985344158768	0.473886695543699	0.127425037188951	3.71894492634915	0.000200056660592795	0.00146785252803557
GYPSY12	468.700360476458	1.41205531450006	0.0981185771854717	14.3913146216019	5.86700019015634e-47	1.00647063067017e-46	468.700360476458	0.162797449722548	0.0980967807656729	1.65955955385965	0.0970030906855985	0.160913416876942	468.700360476458	-0.149694416755408	0.0980967537161961	-1.52598746731711	0.127012985702781	0.262882391408289
DMGYPF1A	435.475602620118	0.221437945666044	0.213644005658171	1.03648096741054	0.299977814129423	0.308280421424463	435.475602620118	0.743796179689614	0.213644547019174	3.4814657807431	0.000498677494648825	0.00172510923161771	435.475602620118	-0.317901272219141	0.21364405899146	-1.48799490947627	0.136752236115684	0.277511331434394
GYPSY7	452.686130457676	2.115186044807	0.134769865521793	15.6947996988611	1.64159986114909e-55	3.00963727115346e-55	452.686130457676	0.559465947550703	0.134731887231136	4.1524390331661	3.2895040647283e-05	0.000159314495772548	452.686130457676	-0.628143149713063	0.134733221046973	-4.66212523408811	3.12960642561979e-06	4.61228766166039e-05
CIRC	420.659938277103	0.808887650555892	0.0879394341540246	9.19823578963604	3.63874606903077e-20	4.90511483508817e-20	420.659938277103	0.300417676478245	0.087932612269119	3.41645344913458	0.000634425095008273	0.002142046033083	420.659938277103	-0.315002269225347	0.0879327903529432	-3.58230721396417	0.000340572939249049	0.00230153613697777
INVADER4	425.42607567031	1.68014126869544	0.120232636809264	13.9740865149685	2.24373997649643e-44	3.77924297704483e-44	425.42607567031	0.553050453579483	0.120208954495285	4.60074256449153	4.20987462556623e-06	2.64830170370901e-05	425.42607567031	-0.072948493417574	0.120205057222184	-0.606867091146905	0.543939119293551	0.709097515177485
TRANSIB2	403.793511137793	1.13124625610003	0.0721366434025147	15.6819918801572	2.00855449267275e-55	3.67835976209846e-55	403.793511137793	0.184067584103878	0.072098600538295	2.55299801562877	0.0106800104707786	0.024949265984428	403.793511137793	-0.175423007002628	0.0720985607975686	-2.43309998233063	0.0149701665174833	0.0508141736513964
IVK	409.071544257673	1.36187560071624	0.128397922172568	10.6066794358703	2.77434147807059e-26	3.98074522728312e-26	409.071544257673	0.263593078619456	0.128385814440269	2.05313242563953	0.0400597359124687	0.0766831576603135	409.071544257673	-0.408008573089536	0.128386682089779	-3.17796648724218	0.0014831189258526	0.0077866656252442
TIRANT	395.959469395067	0.782244532256889	0.132676356308223	5.8958849490835	3.72678585159546e-09	4.43992392854514e-09	395.959469395067	0.146133140873677	0.132674242161178	1.10144319268957	0.270703815626169	0.373657363018897	395.959469395067	-0.265270754161111	0.132674411079918	-1.99941158209719	0.0455638397971247	0.121228472644937
DMTNFB	397.561070518651	0.896046097156017	0.103217126902144	8.68117650673925	3.91695729136094e-18	5.18036688568533e-18	397.561070518651	0.323329141546475	0.10321071605255	3.13270902395301	0.00173201053313439	0.00513229545475668	397.561070518651	-0.263305564439033	0.103210348206796	-2.55115469537477	0.010736665812479	0.0389251456239239
DMPOGOR11	375.941090786005	0.416299834364217	0.114465812316743	3.6368923256514	0.000275947213727769	0.000304967871508812	375.941090786005	-0.0511475218384025	0.114465953639557	-0.446836113377969	0.654993394426195	0.737687191058924	375.941090786005	-0.340567645264037	0.114465944456602	-2.97527484598843	0.00292726148277076	0.0135816397918073
DM33463	374.32835572498	0.89115712780224	0.0759922335707355	11.7269500569782	9.2740415748945e-32	1.40423780846868e-31	374.32835572498	0.264978342628178	0.0759742140075789	3.48774049313291	0.000487120621426733	0.00168994065575166	374.32835572498	-0.188164545422066	0.0759734206068761	-2.47671546073623	0.013259756478351	0.0459060256011703
DM88	377.772256114379	1.83784746234036	0.0837273868807033	21.9503740748409	8.58918277980212e-107	2.2911915030456e-106	377.772256114379	0.0580467857343637	0.0836029214051309	0.694315279403636	0.48748451094846	0.591898034140073	377.772256114379	-0.290627068141426	0.0836059364237794	-3.47615349546836	0.000508661065690907	0.00321023251420696
GYPSY6	351.205686598614	0.361712355126756	0.131138666791687	2.75824334634524	0.00581129191555976	0.00627206613123031	351.205686598614	0.353053842141594	0.131138913886916	2.69221264441796	0.00709796729178725	0.0175084939637055	351.205686598614	-0.128287334420812	0.131138517834403	-0.978258230604749	0.327946622857742	0.513979435383909
DME278684	356.773944674589	1.13777367270821	0.104630249377784	10.8742326380214	1.52937235840383e-27	2.2247383082799e-27	356.773944674589	0.125529697443381	0.104613959545057	1.19993257103815	0.230165529031091	0.326856615678234	356.773944674589	-0.204143821994259	0.104614204060583	-1.95139679001943	0.0510098630379749	0.132552262680523
DMTRDNA	350.878006892354	1.15180629679969	0.128135295719528	8.98898535592292	2.49523275149769e-19	3.33738004695513e-19	350.878006892354	0.211975082612999	0.128126001496556	1.65442673725128	0.0980408376433532	0.162372924888948	350.878006892354	-0.0596377995431538	0.128125854929626	-0.465462646675883	0.641600180485853	0.782792042036728
GYPSY2	331.885053470873	-0.15634612278622	0.1057803562044	-1.47802605697519	0.139400803936408	0.14502066668363	331.885053470873	0.304066115651921	0.105776879272647	2.87459904038357	0.00404540871389614	0.0107298947537596	331.885053470873	-0.156122185604267	0.105776587284177	-1.47596164342901	0.139954189460258	0.28258317860083
DIVER2	344.365132848458	1.12930887480253	0.0932462193283621	12.1110419589852	9.23139648348567e-34	1.42259715004327e-33	344.365132848458	0.198237290341972	0.0932218534821421	2.12651092997144	0.0334607401502996	0.0660274156464503	344.365132848458	-0.232107947195555	0.0932221576625228	-2.48983667633845	0.0127801809461337	0.0446504648998872
TC1	338.941571420023	1.01376891828937	0.0698852465802054	14.5061936230832	1.10695011989336e-47	1.90776202328707e-47	338.941571420023	0.21090241730636	0.0698431233710956	3.01965901762121	0.00253059410745216	0.00717574277350723	338.941571420023	-0.117384835541811	0.0698423808161122	-1.68071068268525	0.0928191246031344	0.207998866482833
McCLINTOCK	352.536748359204	3.39474580992543	0.0930726800308937	36.4741383701277	2.85117744630103e-291	2.15807978056092e-290	352.536748359204	0.155319842334893	0.0918949536989642	1.6901890265237	0.0909917970756827	0.15262734991977	352.536748359204	-0.16224390132102	0.091895598170102	-1.76552418779298	0.0774757087824042	0.181559922737447
GTWIN	307.113450468895	0.323071521635689	0.15204550054746	2.12483447699819	0.0336004268915708	0.035625993992197	307.113450468895	0.235478207290316	0.152045486650434	1.54873526651732	0.121445372459163	0.194205083581964	307.113450468895	0.0596834749987499	0.152045781221047	0.392536211918836	0.694662060621021	0.820133171199539
INVADER	319.704510859853	1.44215351360499	0.0865542191856283	16.6618511168367	2.48221459946939e-62	4.78232380384943e-62	319.704510859853	0.269362896586451	0.0864808494216486	3.11471150419831	0.00184124898953215	0.00541756003589617	319.704510859853	-0.219675801616806	0.0864799801863981	-2.54019255258059	0.0110791453939193	0.0399177726362586
G4_DM	310.442038829837	0.694830710599724	0.0868425884703551	8.00103639053681	1.23376315847407e-15	1.59124972397943e-15	310.442038829837	0.230628052510098	0.0868344569666275	2.65595088132737	0.00790851326069323	0.0192321023025081	310.442038829837	-0.26975496065488	0.0868349383755273	-3.10652561862018	0.00189299905165425	0.00956662318467386
DMHFL1	308.026946739198	0.982056291500752	0.100375764408709	9.78379888099311	1.32155024853154e-22	1.82547919521764e-22	308.026946739198	0.133100410439177	0.100360255362276	1.32622630301922	0.184764749309368	0.273513945825534	308.026946739198	-0.0865253089692411	0.100360252230392	-0.862147185228364	0.388606528693546	0.572270956158051
STALKER4	312.515372221657	1.36842153006525	0.0979050530493378	13.977026593057	2.15296638785824e-44	3.62771986720044e-44	312.515372221657	0.325407441216314	0.0978609754941601	3.32520128246354	0.000883547230523477	0.00286173390608367	312.515372221657	-0.0395090988898279	0.0978587426560652	-0.403736015990791	0.686406851982141	0.814342805577818
GYPSY10	306.811464916802	1.09007713235809	0.0690359981394685	15.789981484093	3.64686960037513e-56	6.71733580656117e-56	306.811464916802	0.168783896106574	0.0689691069932706	2.44723911131751	0.0143955300872307	0.032156592693184	306.811464916802	-0.150226450617594	0.0689689532901781	-2.17817501137845	0.0293930097144885	0.0859353370195906
G5_DM	302.589711950986	0.865676058406264	0.114742398486187	7.54451771818656	4.5396431430244e-14	5.76216977426714e-14	302.589711950986	0.219441810763761	0.114733759811229	1.91261762121984	0.0557970221439886	0.101309263107674	302.589711950986	-0.57250506069871	0.114738420894331	-4.98965434800574	6.04874273574878e-07	1.16357725516182e-05
TARTC	290.86745558523	1.14333999850975	0.279734578896801	4.08723155720961	4.36551347708646e-05	4.89874233111272e-05	290.86745558523	0.110079683122205	0.279732814726273	0.393517232613275	0.693937498743128	0.770715670367108	290.86745558523	-0.906628980559687	0.279734226875875	-3.24103700389148	0.00119095723193633	0.00647925328420552
INVADER6	278.361977203548	0.881217066801187	0.0969157054832512	9.09261365231952	9.66863130729674e-20	1.2974660644979e-19	278.361977203548	0.364979394244535	0.0969021922479813	3.76647200416809	0.000165570640306455	0.000656341266007231	278.361977203548	0.00617025589779653	0.0969001856920433	0.0636764094282142	0.949227889166428	0.972466340474276
DMBARI1	270.086168392056	0.1704035365487	0.201938509491414	0.843838735751114	0.398759526586382	0.407602553481698	270.086168392056	0.756428712908384	0.20194016218147	3.74580620683385	0.000179815366064128	0.00070465904373474	270.086168392056	-0.209674417436621	0.20193849995907	-1.03830828434954	0.299126553052873	0.482547728905994
DMTHB1	254.545557755441	1.17588740219563	0.0639320044478837	18.3927817116105	1.50078501562612e-75	3.18580169983712e-75	254.545557755441	0.159575051049907	0.0637782225976846	2.50203038828021	0.0123483325332329	0.0282298889980716	254.545557755441	-0.158465778108231	0.0637782823448025	-2.48463540067641	0.0129684180072689	0.0451194282933793
QBERT	255.020953861971	0.894312496680429	0.0972555709564287	9.19548862739275	3.73294115516548e-20	5.03107727577102e-20	255.020953861971	0.349288781746	0.0972372854206681	3.59212806316946	0.00032798858869165	0.00119526266767756	255.020953861971	-0.320137211560809	0.0972367202278129	-3.29234892755298	0.000993542603650544	0.00560839695227906
INVADER3	249.190101992025	1.23640114736369	0.0729848282505618	16.9405228045347	2.26106264829404e-64	4.42642419738525e-64	249.190101992025	0.180172131704074	0.0728607346990218	2.47282891736326	0.0134048297051416	0.0302621784611769	249.190101992025	-0.104339837128834	0.0728599844085186	-1.43205955883563	0.152126776969092	0.299305067375015
