TEfam	flybase_name	fb_id	TEsubclass	TEclass	CE1	CE2	CE3	CE4	CP1	CP2	CP3	CP4	HE1	HE2	HE3	HE4	HP1	HP2	HP3	HP4	LE1	LE2	LE3	LE4	LP1	LP2	LP3	LP4	Mean_Cont	Mean_Sel	ConsistSC_L	ConsistCS_L	ConsistSC_C	ConsistCS_C	ConsistSC_H	ConsistCS_H
DME487856	Max-element	FBte0000304	LTR	RNA	119888.074	104603.786	121174.819	158090.178	117126.284	113636.85	124483.434	110735.723	131494.643	121260.396	117157.716	112746.607	113840.327	121488.444	114934.138	110450.549	113438.588	119026.506	105887.832	104961.395	129116.338	116211.035	116632.784	126266.883	119144.211666667	117910.232416667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DME9736	Idefix	FBte0000104	LTR	RNA	140060.7	128112.963	144310.652	73468.993	137690.168	125469.998	147995.831	133551.006	144594.03	132979.308	138143.19	138133.027	126812.292	143957.288	126583.51	132652.523	133578.947	129943.442	124845.58	122099.2	143030.574	148245.924	137491.327	143895.053	129189.169333333	137281.291166667	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
DMGYPF1A	gypsy	FBte0000021	LTR	RNA	31304.445	33309.529	33817.851	39014.221	40931.461	38345.16	37671.16	36303.109	34852.86	36204.126	39520.11	38811.577	35452.6	33862.555	37212.383	34078.501	40121.169	40065.24	35284.239	30708.156	38868.682	37654.789	39063.817	37785.419	36084.46025	37269.1363333333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMHFL1	hobo	FBte0000154	TIR	DNA	77252.585	69305.136	80904.153	51911.347	77979.167	74383.068	75082.213	72362.11	72432.348	77516.396	75444.365	77598.611	71474.39	71027.268	72187.223	74272.891	77683.571	78758.965	71588.243	67763.016	77347.821	82632.673	79155.466	76781.859	73179.8946666667	75390.5124166667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMIFACA	I-element	FBte0000133	non-LTR	RNA	127188.979	119260.644	128642.098	75670.873	121569.254	110425.98	115249.962	111151.054	125950.154	127852.61	122109.553	131715.684	110896.694	113415.778	117846.273	113101.526	109188.074	102780.609	107294.584	103435.482	114838.75	119039.205	110054.301	120439.232	115090.778666667	114835.667416667	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
DMIS176	17.6	FBte0000109	LTR	RNA	159733.079	155706.496	154142.514	92930.725	172540.608	156353.649	162169.577	166263.359	178677.252	179275.264	167758.968	167308.513	162628.692	166313.772	159492.354	163779.169	156769.258	156417.804	138590.077	145351.326	167448.628	174725.78	159242.602	176195.497	154388.439666667	165596.140583333	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
DMIS297	297	FBte0000675	LTR	RNA	210210.744	187540.384	178897.829	82675.947	205403.615	194293.899	199614.26	183558.713	221540.068	188626.568	200148.454	200531.948	191654.883	193335.743	187533.902	186458.895	199693.046	191763.578	201337.499	195938.057	197452.545	209061.557	207231.045	207344.469	188242.010166667	196911.9605	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMLINEJA	jockey	FBte0000088	non-LTR	RNA	116457.428	123461.883	118357.963	127314.657	124861.564	123090.781	121523.542	114304.593	118428.673	116531.856	123297.267	120751.846	119152.979	125068.276	117346.932	115608.902	116898.263	111204.744	105632.737	101737.138	112043.576	115292.722	111182.306	117277.594	116672.87125	118062.813916667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMMDG3	mdg3	FBte0000010	LTR	RNA	67096.968	69784.593	53024.924	41267.907	67272.009	66928.355	71653.946	78158.445	78255.363	71639.579	67452.721	67105.655	71362.241	61024.735	73754.405	68134.685	64167.962	60297.759	62504.979	61586.943	71440.618	67370.07	67005.992	66059.382	63682.11275	69180.4069166667	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
DMPOGOR11	pogo	FBte0000568	TIR	DNA	36329.946	38271.386	38780.519	23247.869	43706.651	39268.923	40720.177	36993.025	42054.263	38524.755	41557.919	40640.36	36067.623	40006.937	36656.849	38544.05	40095.344	38625.271	39837.444	38066.945	41708.021	42405.915	36358.049	42435.69	38002.6684166667	39572.6591666667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMREPG	G-element	FBte0000657	non-LTR	RNA	41374.055	39445.723	43517.129	53257.007	41990.493	37037.788	36936.202	38105.614	45843.778	43710.584	44338.339	43794.266	35386.598	35534.975	40782.069	40890.812	40747.967	39261.976	43023.679	39104.781	37788.243	41243.779	46940.866	41797.153	43118.2736666667	39536.216	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
DMRER1DM	R1A1-element	FBte0000118	non-LTR	RNA	741869.854	670171.238	780317.34	1039458.494	732109.018	678749.676	683639.439	672933.329	890472.579	761375.133	741252.488	719736.174	701734.279	620704.361	688521.79	717414.374	683749.768	671354.255	662586.053	600543.753	742174.394	692534.044	708891.716	740315.713	746907.26075	698310.17775	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
DMRER2DM	R2-element	FBte0000030	non-LTR	RNA	67585.213	59046.892	70996.442	84944.202	64036.1	62918.595	67615.641	62832.012	91323.375	69057.698	72829.207	70925.085	57571.408	73227.201	60338.183	56351.215	61385.204	64561.144	50710.049	49477.636	74610.274	67296.678	61974.62	69294.178	67736.8455833333	64838.8420833333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMRTMGD1	mdg1	FBte0000015	LTR	RNA	146406.203	136285.241	144138.993	74151.796	131327.139	132484.452	136551.113	136947.123	134324.2	139485.355	136792.313	143032.014	129665.865	126769.936	137229.464	133178.889	146389.35	145819.595	131985.265	134229.506	137197.781	131904.201	130169.6	136912.695	134419.985916667	133361.5215	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMTHB1	HB	FBte0000414	TIR	DNA	22659.907	23408.256	22738.437	12323.682	23706.549	23364.903	24396.936	23702.377	24231.88	23275.584	23610.309	24080.496	23364.54	23912.672	23207.627	22994.633	23267.749	22749.802	23064.143	23456.254	23943.88	24845.005	22941.455	24286.855	22405.5415833333	23722.286	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMTN1731	1731	FBte0000003	LTR	RNA	35719.566	32551.294	35225.991	41668.336	37000.377	34230.649	35950.331	38028.457	40033.232	38489.048	34036.337	33125.636	32234.384	32612.374	32519.043	31471.838	29699.538	30775.921	27317.966	27206.101	33288.803	31280.896	29476.479	33324.359	33820.7471666667	33451.4991666667	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
DMTNFB	FB	FBte0000288	FB	DNA	39919.086	41274.856	38343.906	9606.502	39785.148	37667.329	41991.619	40358.477	41442.211	44905.393	44574.904	42127.7	39580.89	41476.514	40075.943	39898.381	41788.207	39975.965	38739.981	37638.182	39657.596	40491.091	39511.294	42572.443	38361.40775	40255.5604166667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMTOM1_LTR	Tom1	FBte0000400	LTR	RNA	2654.629	2396.787	2648.951	1214.601	2589.618	2485.935	2791.249	2668.665	2862.976	2597.055	2654.494	2674.883	2395.909	2526.163	2627.999	2667.753	2445.188	2431.817	2311.956	2236.778	2694.746	2670.164	2545.707	2661.707	2427.50958333333	2610.46791666667	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
DMTRDNA	hopper	FBte0000670	TIR	DNA	24870.071	25397.264	25669.185	9082.526	25040.488	25453.387	26788.264	27351.874	28738.804	25689.224	25765.473	26199.799	25585.333	25656.01	26033.795	25553.985	25003.944	24132.458	23191.836	23618.999	24754.579	26512.114	25366.884	26120.646	23946.6319166667	25851.4465833333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMU89994	Burdock	FBte0000739	LTR	RNA	68599.051	67479.825	71717.402	55124.678	67585.683	60478.833	66717.133	68967.256	71383.23	67103.713	74243.93	74896.764	66360.792	75606.552	70373.743	73925.643	68303.636	61622.459	71026.323	72368.771	72664.567	65720.397	67935.593	70836.205	68655.8151666667	68931.0330833333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
DMW1DOC	Doc	FBte0000341	non-LTR	RNA	225780.766	220538.614	235464.899	244543.708	237062.313	225003.294	235892.199	233722.478	250887.33	226937.965	221436.186	221352.737	205061.686	218565.319	217861.451	210885.778	210127.568	203464.715	200220.105	201972.541	215712.527	219053.209	208080.391	225190.963	221893.927833333	221007.634	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
DMZAM	ZAM	FBte0000217	LTR	RNA	23335.802	19939.777	22184.812	16537.695	24824.844	19867.982	22902.251	23883.148	26057.01	26497.73	23501.588	23195.991	21360.173	21002.243	22488.755	20825.436	21470.538	20593.619	22360.994	21874.471	23453.851	23770.163	21637.256	23928.761	22295.8355833333	22495.40525	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
DOC2	Doc2-element	FBte0000103	non-LTR	RNA	63870.759	57789.632	61399.946	65759.815	63215.855	57453.025	61441.726	61096.433	67067.92	60572.004	62203.69	61151.695	55576.833	59725.271	58613.95	56824.185	56819.753	56327.858	52590.388	53675.074	60216.487	58221.277	55936.701	61574.594	59935.7111666667	59158.0280833333	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
DOC3	Doc3-element	FBte0001140	non-LTR	RNA	98728.788	88886.796	99926.075	94593.444	96912.313	96011.212	97892.665	96644.253	102411.231	95819.542	100034.726	96759.994	88654.606	91401.682	95461.279	93929.796	90894.173	89890.798	85651.956	82932.699	98502.801	95262.497	89018.571	98312.603	93877.5185	94833.6898333333	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
DOC4	Doc4-element	FBte0001039	non-LTR	RNA	12642.812	11471.828	12656.257	10827.042	12703.194	12080.539	12938.757	12660.866	13185.865	12449.446	12469.063	12057.848	12105.317	12391.75	12440.67	12152.995	12067.131	11924.034	11714.432	11375.362	12970.305	12601.554	12126.102	12757.985	12070.0933333333	12494.1695	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
DOC5	Porto1	FBte0000791	non-LTR	RNA	42695.591	38046.854	42224.432	23679.824	42090.831	40750.836	41783.652	41360.652	44928.055	41962.146	42430.165	42480.417	38153.62	38406.055	40838.638	40199.957	39067.209	38572.654	36181.893	35062.957	42943.746	41118.372	38360.407	42651.3	38944.34975	40721.5055	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
F	F-element	FBte0000005	non-LTR	RNA	417218.787	401574.8	430940.309	432705.319	422575.64	411634.724	421345.781	425716.589	466335.038	434370.875	428388.877	429415.745	402256.149	399707.319	419595.889	400645.728	392237.476	393314.968	376662.678	367324.783	419429.898	400245.21	399000.811	426736.736	414207.47125	412407.5395	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
FROGGER	frogger	FBte0000314	LTR	RNA	4540.007	4141.784	4788.369	5032.347	4557.083	4033.196	4848.666	4675.162	4956.608	4626.207	4379.115	4537.745	4381.458	4510.297	4557.643	4413.095	4335.932	4176.165	4109.543	4063.345	4568.153	4831.466	4055.996	4957.497	4473.93058333333	4532.476	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FW2	Fw2	FBte0001002	non-LTR	RNA	11618.149	10949.673	11589.472	11196.937	12058.386	11893.594	11586.394	11785.514	12135.847	11663.734	11964.413	11702.769	10923.336	11600.88	11698.946	11503.187	11095.856	11038.154	10581.932	10704.045	11851.282	11556.808	11067.848	12155.662	11353.4150833333	11640.1530833333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
FW3	Fw3	FBte0000636	non-LTR	RNA	6907.085	6924.086	7566.88	7160.449	7012.628	7099.899	7463.718	7355.862	7629.856	7256.186	7164.599	7115.248	6619.945	6790.83	7289.014	7081.21	6720.948	6283.313	6240.468	6277.84	6599.907	6858.798	6686.077	6687.727	6937.2465	6962.13458333333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
G2	G2	FBte0000800	non-LTR	RNA	30978.297	27568.634	30572.163	36451.004	30462.491	25845.348	27609.838	27835.855	32233.756	29764.513	29319.583	29827.538	24597.55	28415.585	27429.197	26852.789	25488.367	26173.676	23973.405	23407.784	25902.577	25848.018	26663.265	27592.983	28813.2266666667	27087.958	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
G3	G3	FBte0001171	non-LTR	RNA	7581.794	7113.969	7941.291	5533.095	7629.507	7403.121	7576.228	7332.471	8161.816	7646.325	7953.984	7571.549	6750.678	7153.893	7569.947	7350.414	7093.462	6718.629	6691.581	6591.394	7685.959	7595.232	7167.45	7855.171	7216.57408333333	7422.50591666667	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
G4_DM	G4	FBte0000290	non-LTR	RNA	34925.729	32634.864	35345.278	19271.086	35182.192	33742.255	36302.603	35412.376	37439.51	35446.518	34599.543	34891.71	33848.029	33858.353	35094.555	34193.145	33573.065	32915.918	32065.374	31509.867	35643.383	35841.822	34607.09	35493.742	32884.8718333333	34934.9620833333	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
G5_DM	G5	FBte0001128	non-LTR	RNA	33551.368	28854.537	31623.373	37480.681	33497.516	30612.514	33160.59	33707.918	36138.802	32261.478	32585.892	31922.697	31381.709	31505.745	32417.602	31151.408	30146.083	29933.294	28186.404	27591.311	31946.57	32752.521	31773.008	33256.086	31689.66	32263.5989166667	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
G5A	G5A	FBte0000174	non-LTR	RNA	19035.816	17767.939	19283.637	20166.972	19238.132	18212.464	19411.179	19070.331	20600.366	19256.932	19049.779	18744.281	17884.688	18835.491	18824.753	18683.631	18042.113	17843.031	17411.607	16852.975	19010.79	18816.374	17969.775	19067.844	18671.2873333333	18752.121	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
G6_DM	G6	FBte0000958	non-LTR	RNA	13972.983	12932.247	14636.836	19309.089	13233.444	11346.938	12955.254	14726.815	13252.024	14438.695	13539.565	13240.911	11925.068	13531.266	13352.248	12636.837	12923.873	13005.971	11908.211	11751.18	11892.34	12130.934	12984.274	13614.804	13742.6320833333	12860.8518333333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
G7	G7	FBte0000690	non-LTR	RNA	1459.174	1170.258	1324.995	1213.572	1170.312	1164.077	1259.283	1216.146	1210.835	1033.4	1228.872	1167.703	1082.373	1304.408	1260.733	1177.977	1171.177	1303.597	1058.935	1200.047	1250.529	1139.089	1008.71	1356.675	1211.88041666667	1199.19266666667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
GTWIN	gtwin	FBte0001062	LTR	RNA	23127.571	17301.573	23460.018	20867.644	21469.89	17761.433	22002.869	18806.263	19492.343	16917.026	20509.432	19831.436	18932.912	19656.55	17513.811	19367.834	20879.835	19406.723	22574.607	24416.472	22082.69	21624.516	20674.285	22838.501	20732.0566666667	20227.6295	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
GYPSY10	gypsy10	FBte0000351	LTR	RNA	24473.994	23097.04	25473.414	20415.306	26326.155	24934.344	26054.234	26497.972	28120.094	24834.593	25896.445	25076.313	23046.933	24813.869	24860.34	26062.557	24932.943	24761.295	23602.255	23114.029	25987.871	25816.709	24280.566	26542.396	24483.1434166667	25435.3288333333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
GYPSY11	gypsy11	FBte0001041	LTR	RNA	5660.792	5777.571	5932.357	2147.55	6496.712	6004.291	6086.964	5746.796	6190.836	5907.175	6118.978	5964.16	5261.556	5432.333	6252.722	5410.997	5535.347	5659.965	5406.029	4513.705	5887.566	5581.55	5535.073	5866.304	5401.20541666667	5796.90533333333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
GYPSY2	gypsy2	FBte0001040	LTR	RNA	42396.681	38944.223	42231.444	44610.074	41725.149	39171.413	41082.251	41202.733	44366.296	41773.268	42924.706	41370.886	38849.405	39689.14	41160.646	40753.493	38530.108	37926.559	37985.773	36586.659	41570.127	40096.252	39540.05	41391.466	40803.88975	40519.34375	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
GYPSY3	gypsy3	FBte0001030	LTR	RNA	23230.488	20998.779	22759.873	24167.96	22034.1	20469.893	21725.335	21274.303	21541.962	21051.166	22363.811	22374.247	19909.567	20297.606	20583.96	20574.236	21123.909	21162.532	21127.559	20522.225	23132.007	22615.249	21643.331	23362.427	21868.70925	21468.5011666667	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
GYPSY4	gypsy4	FBte0000688	LTR	RNA	101060.701	92970.259	104597.38	80597.573	100911.961	96583.621	100264.543	96855.155	106628.16	97266.953	100747.361	98610.429	92239.011	96357.177	98310.66	98943.852	93203.306	91698.51	88828.609	84503.748	104503.435	100958.809	97890.406	105392.022	95059.41575	99100.8876666667	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
GYPSY5	gypsy5	FBte0000308	LTR	RNA	17550.69	17038.532	16457.223	9987.58	16910.933	18336.742	17927.366	15052.081	17674.484	18627.618	18251.755	18215.032	15038.095	17753.735	16329.655	16476.912	15078.386	14783.622	15428.047	16381.613	19943.591	15264.655	14818.262	17019.392	16289.5485	16739.2849166667	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
