TEfam	flybase_name	fb_id	TEsubclass	TEclass	Cont_B1	Cont_B2	Cont_B3	Cont_B4	Cont_B5	Sel_O1	Sel_O2	Sel_O3	Sel_O4	Sel_O5	Mean_Cont	Mean_Sel	ConsistSC	ConsistCS
DMIFACA	I-element	FBte0000133	non-LTR	RNA	330467.049	186204.257	250181.123	553562.372	473717.905	190647.443	166784.087	177232.158	213233.282	195287.861	358826.5412	188636.9662	FALSE	FALSE
DMIS176	17.6	FBte0000109	LTR	RNA	280124.271	163232.682	285164.056	471601.198	353406.548	261076.733	249355.207	237301.722	253627.627	230441.632	310705.751	246360.5842	FALSE	FALSE
DMIS297	297	FBte0000675	LTR	RNA	288508.465	264400.577	371922.092	535977.214	433059.266	391208.755	316502.178	376415.429	369448.151	339499.184	378773.5228	358614.7394	FALSE	FALSE
DMLINEJA	jockey	FBte0000088	non-LTR	RNA	130673.689	155031.337	136540.157	132008.346	173940.253	183008.514	178055.719	171334.185	163687.547	174951.367	145638.7564	174207.4664	FALSE	FALSE
DMMDG3	mdg3	FBte0000010	LTR	RNA	85542.955	79021.832	94093.356	106870.052	101600.853	98295.567	97166.551	99545.539	128397.453	96118.893	93425.8096	103904.8006	FALSE	FALSE
DMPOGOR11	pogo	FBte0000568	TIR	DNA	38099.117	38514.356	44977.579	31977.184	31298.477	53687.282	53665.186	44688.214	57133.076	50661.284	36973.3426	51967.0084	FALSE	FALSE
DMREPG	G-element	FBte0000657	non-LTR	RNA	38670.497	33876.884	32637.785	56602.206	48298.67	30945.505	22620.273	22120.125	24619.88	31951.6	42017.2084	26451.4766	FALSE	TRUE
DMRER1DM	R1A1-element	FBte0000118	non-LTR	RNA	711536.738	839146.171	1196314.817	757662.477	636721.486	755510.637	611145.38	642137.336	601556.897	669545.066	828276.3378	655979.0632	FALSE	FALSE
DMRER2DM	R2-element	FBte0000030	non-LTR	RNA	88917.039	125413.039	84509.396	93993.265	59813.302	117083.045	92427.743	97847.276	101192.422	108912.881	90529.2082	103492.6734	FALSE	FALSE
DMRTMGD1	mdg1	FBte0000015	LTR	RNA	217786.617	255127.648	254903.6	245347.571	213367.597	305800.984	303668.424	316856.79	314170.703	270877.505	237306.6066	302274.8812	TRUE	FALSE
DMTHB1	HB	FBte0000414	TIR	DNA	13817.679	16057.266	15841.966	10051.082	13090.144	24685.28	22146.069	21719.423	22794.041	22364.558	13771.6274	22741.8742	TRUE	FALSE
DMTN1731	1731	FBte0000003	LTR	RNA	43082.486	66977.735	50829.452	51825.296	43386.342	75539.937	66662.287	65310.959	71181.254	70890.629	51220.2622	69917.0132	FALSE	FALSE
DMTNFB	FB	FBte0000288	FB	DNA	67492.487	44261.4	63340.37	60009.457	106922.329	76832.012	55914.344	67120.016	72546.384	61409.01	68405.2086	66764.3532	FALSE	FALSE
DMTOM1_LTR	Tom1	FBte0000400	LTR	RNA	2885.534	2692.879	3124.451	3236.856	3294.309	3508.475	3036.845	3292.513	3414.989	3170.648	3046.8058	3284.694	FALSE	FALSE
DMTRDNA	hopper	FBte0000670	TIR	DNA	42587.735	39922.347	48480.265	38602.363	48847.934	46140.066	41272.449	49066.185	44586.985	40188.318	43688.1288	44250.8006	FALSE	FALSE
DMU89994	Burdock	FBte0000739	LTR	RNA	77328.021	79938.942	68587.39	79736.418	71249.479	112782.382	94964.267	91062.121	110938.037	96190.572	75368.05	101187.4758	TRUE	FALSE
DMW1DOC	Doc	FBte0000341	non-LTR	RNA	381265.166	328340.147	313586.204	687195.676	544754.847	391639.508	381771.541	365393.245	380998.698	355578.962	451028.408	375076.3908	FALSE	FALSE
DMZAM	ZAM	FBte0000217	LTR	RNA	53976.859	29675.548	45868.545	87912.676	82482.275	40440.469	40831.581	42480.377	37588.152	35109.707	59983.1806	39290.0572	FALSE	FALSE
DOC2	Doc2-element	FBte0000103	non-LTR	RNA	134362.935	93970.76	98737.56	187190.649	171621.572	109974.969	92717.432	94170.84	105126.043	101735.589	137176.6952	100744.9746	FALSE	FALSE
DOC3	Doc3-element	FBte0001140	non-LTR	RNA	124204.807	102646.15	110569.397	157957.997	161104.819	138086.531	120212.304	119739.445	127818.671	122745.319	131296.634	125720.454	FALSE	FALSE
DOC4	Doc4-element	FBte0001039	non-LTR	RNA	9256.577	9445.274	9247.385	8537.106	9660.725	13584.959	12282.264	12857.616	13255.04	12853.543	9229.4134	12966.6844	TRUE	FALSE
DOC5	Porto1	FBte0000791	non-LTR	RNA	78671.583	52295.823	70524.221	122687.561	114373.579	73813.765	64712.029	63776.983	71665.012	64570.753	87710.5534	67707.7084	FALSE	FALSE
F	F-element	FBte0000005	non-LTR	RNA	623887.626	548513.096	577571.079	985206.89	724186.521	632684.46	538988.774	551796.526	589140.524	561660.979	691873.0424	574854.2526	FALSE	FALSE
FB	NOF	FBte0000466	TIR	DNA	6268.045	8063.29	19187.087	7398.472	29847.514	25555.335	13865.745	15125.818	19394.664	21993.291	14152.8816	19186.9706	FALSE	FALSE
FROGGER	frogger	FBte0000314	LTR	RNA	4045.088	7016.843	4339.302	3714.465	4374.541	8847.27	7772.201	7321.696	8090.05	8739.646	4698.0478	8154.1726	TRUE	FALSE
FW2	Fw2	FBte0001002	non-LTR	RNA	11929.938	12095.245	11855.048	13983.491	13427.404	17073.967	15286.93	15047.499	16748.405	15998.109	12658.2252	16030.982	TRUE	FALSE
FW3	Fw3	FBte0000636	non-LTR	RNA	6222.381	5399.263	5874.152	8683.555	8232.298	7398.373	8315.019	7874.092	7646.716	7614.509	6882.3298	7769.7418	FALSE	FALSE
G2	G2	FBte0000800	non-LTR	RNA	56857.336	46866.57	41373.183	78672.987	66500.186	53785.699	39016.578	42557.612	44041.677	46338.144	58054.0524	45147.942	FALSE	FALSE
G3	G3	FBte0001171	non-LTR	RNA	8732.585	8357.235	8250.713	9498.234	9497.233	11683.812	10269.573	10745.503	11424.797	11153.642	8867.2	11055.4654	TRUE	FALSE
G4_DM	G4	FBte0000290	non-LTR	RNA	36300.422	35146.75	39720.301	41322.511	41848.062	52819.767	48966.63	50423.811	54584.444	49917.124	38867.6092	51342.3552	TRUE	FALSE
G5_DM	G5	FBte0001128	non-LTR	RNA	25004.568	31899.281	30253.566	24866.453	23580.26	36532.976	30219.313	32860.681	32623.942	33588.087	27120.8256	33164.9998	FALSE	FALSE
G5A	G5A	FBte0000174	non-LTR	RNA	12284.355	15118.506	13708.124	11679.868	12948.595	21145.417	18970.983	18799.873	19793.29	19006.293	13147.8896	19543.1712	TRUE	FALSE
G6_DM	G6	FBte0000958	non-LTR	RNA	24521.802	20217.478	16402.033	33339.862	29355.734	17538.082	18227.341	16856.584	16030.02	18126.955	24767.3818	17355.7964	FALSE	FALSE
G7	G7	FBte0000690	non-LTR	RNA	771.763	1024.934	1033.534	942.727	1015.928	1164.297	1065.317	1090.172	1016.879	958.222	957.7772	1058.9774	FALSE	FALSE
GTWIN	gtwin	FBte0001062	LTR	RNA	20486.3	15317.619	10171.375	10245.394	10250.857	20436.005	15703.191	16475.341	18588.704	17608.571	13294.309	17762.3624	FALSE	FALSE
GYPSY10	gypsy10	FBte0000351	LTR	RNA	22256.249	21300.862	21079.303	19098.104	19164.693	35461.419	31365.949	32100.455	30404.419	27521.834	20579.8422	31370.8152	TRUE	FALSE
GYPSY2	gypsy2	FBte0001040	LTR	RNA	30748.258	40648.902	38596.301	26149.472	24755.718	43211.221	36538.072	38621.666	40100.276	42214.954	32179.7302	40137.2378	FALSE	FALSE
GYPSY3	gypsy3	FBte0001030	LTR	RNA	15814.866	21812.83	17477.195	15833.47	13294.804	26513.107	24519.459	26658.455	22424.149	22445.318	16846.633	24512.0976	TRUE	FALSE
GYPSY4	gypsy4	FBte0000688	LTR	RNA	116280.993	125347.806	123439.642	136029.221	127256.805	172194.75	161539.752	168343.002	157309.441	151247.212	125670.8934	162126.8314	TRUE	FALSE
GYPSY5	gypsy5	FBte0000308	LTR	RNA	12973.144	14567.338	10948.393	9616.373	11457.301	28893.484	22298.09	21605.319	21009.701	18361.489	11912.5098	22433.6166	TRUE	FALSE
GYPSY6	gypsy6	FBte0001175	LTR	RNA	57015.627	66946.643	60600.131	53560.863	52804.255	77491.871	69866.085	69625.78	69230.448	73607.399	58185.5038	71964.3166	TRUE	FALSE
GYPSY7	gypsy7	FBte0000171	LTR	RNA	27150.979	27718.605	27108.221	35117.551	35844.732	45303.799	38241.699	38724.879	42319.886	39773.298	30588.0176	40872.7122	TRUE	FALSE
GYPSY9	gypsy9	FBte0000764	LTR	RNA	7120.324	6302.699	6852.057	9981.13	8880.776	10016.238	8609.179	8800.995	9508.426	8492.013	7827.3972	9085.3702	FALSE	FALSE
HEL	Helena	FBte0000984	non-LTR	RNA	4190.187	5376.414	4886.83	4025.816	4054.877	8033.096	7417.719	7014.768	7516.934	6992.345	4506.8248	7394.9724	TRUE	FALSE
HELITRON1_DM	Helitron	FBte0000170	Helitron	DNA	277.091	441.914	337.261	201.251	186.682	462.617	434.668	431.664	444.915	391.473	288.8398	433.0674	FALSE	FALSE
HOPPER2	hopper2	FBte0000930	TIR	DNA	6869.979	8034.794	7615.74	5874.579	6825.971	10712.312	10514.432	9348.294	10235.076	9920.717	7044.2126	10146.1662	TRUE	FALSE
INE1	INE-1	FBte0000312	TIR	DNA	6596.483	3883.42	5206.173	5313.042	7868.451	5807.739	4966.095	5213.87	5086.778	4772.376	5773.5138	5169.3716	FALSE	FALSE
INVADER	invader1	FBte0000357	LTR	RNA	42560.908	50197.958	39360.084	42828.2	41356.629	56570.471	48282.767	51107.133	53326.818	59226.075	43260.7558	53702.6528	FALSE	FALSE
INVADER2	invader2	FBte0001084	LTR	RNA	150834.707	137941.885	150610.833	204691.567	188386.578	163577.887	154732.803	156129.994	167073.724	150669.699	166493.114	158436.8214	FALSE	FALSE
INVADER3	invader3	FBte0000619	LTR	RNA	40388.42	39402.441	38327.447	48141.755	37883.309	53668.663	49683.324	51962.984	56250.545	52910.589	40828.6744	52895.221	TRUE	FALSE
INVADER5	invader5	FBte0000188	LTR	RNA	4374.987	4254.64	4813.533	4263.996	4340.962	7620.287	8429.445	8292.846	8620	6220.853	4409.6236	7836.6862	TRUE	FALSE
INVADER6	invader6	FBte0000591	LTR	RNA	10367.401	16399.394	12424.938	11310.834	10628.522	19627.534	18337.164	19209.962	19042.798	18500.735	12226.2178	18943.6386	TRUE	FALSE
IVK	Ivk	FBte0000608	non-LTR	RNA	129164.284	92280.922	107257.805	181171.359	160945.431	118265.511	103614.319	103684.284	112958.882	100068.707	134163.9602	107718.3406	FALSE	FALSE
JOCKEY2	jockey2	FBte0001092	non-LTR	RNA	7468.232	9242.368	8274.735	8599.38	10190.356	15586.398	14733.27	14934.467	13866.314	13746.77	8755.0142	14573.4438	TRUE	FALSE
JUAN	Juan	FBte0000982	non-LTR	RNA	69535.554	72397.305	88481.477	81009.723	77232.611	85792.813	93975.777	95371.727	79173.782	88914.898	77731.334	88645.7994	FALSE	FALSE
LOOPER1_DM	looper1	FBte0000323	TIR	DNA	3203.98	4099.584	3327.12	3322.981	3511.328	6641.443	6382.037	6442.646	6583.993	6231.724	3492.9986	6456.3686	TRUE	FALSE
MARINER2	mariner2	FBte0001033	TIR	DNA	5437.936	6453.721	6176.074	5521.427	6598.996	9517.524	7823.519	8624.754	9244.25	8889.5	6037.6308	8819.9094	TRUE	FALSE
McCLINTOCK	McClintock	FBte0000926	LTR	RNA	72106.526	52528.675	77591.662	107508.928	106090.364	87485.417	71715.907	68514.523	75879.825	67789.563	83165.231	74277.047	FALSE	FALSE
OPUS	opus	FBte0000918	LTR	RNA	107341.322	132752.805	126436.321	109823.906	119554.911	137549.981	112970.831	120625.709	134500.538	149213.546	119181.853	130972.121	FALSE	FALSE
OSV	Osvaldo	FBte0000587	LTR	RNA	1199.791	1265.126	1269.971	1522.087	1523.182	1530.948	1210.583	1348.135	1342.951	1503.154	1356.0314	1387.1542	FALSE	FALSE
PPI251	P-element	FBte0000037	TIR	DNA	64989.617	59390.088	47010.737	51446.3	69197.41	104115.437	145778.879	143401.524	91017.26	82008.124	58406.8304	113264.2448	TRUE	FALSE
Q	Q-element	FBte0000124	non-LTR	RNA	1535.248	1094.485	1001.84	907.038	1067.654	1416.017	1191.503	1189.883	1678.704	1414.714	1121.253	1378.1642	FALSE	FALSE
QBERT	accord2	FBte0001166	LTR	RNA	64505.13	51889.91	59394.304	84351.054	82636.461	65941.708	56228.654	59235.741	61347.005	55109.66	68555.3718	59572.5536	FALSE	FALSE
QUASIMODO	Quasimodo	FBte0000640	LTR	RNA	239366.295	247683.431	269935.1	281372.15	250832.519	366683.977	371183.181	322735.486	332329.717	304484.407	257837.899	339483.3536	TRUE	FALSE
ROOA_LTR	rooA	FBte0000765	LTR	RNA	47070.211	53384.907	48620.023	49174.414	46667.945	94513.979	85486.495	82744.555	91944.52	89629.961	48983.5	88863.902	TRUE	FALSE
ROVER	rover	FBte0000692	LTR	RNA	166002.15	97327.685	132777.455	274759.601	195434.961	128986.968	127574.786	115888.842	115425.609	97753.552	173260.3704	117125.9514	FALSE	FALSE
ROXELEMENT	X-element	FBte0001160	non-LTR	RNA	49722.756	58234.372	49595.088	35260.698	35254.235	69499.896	66414.891	59959.603	61799.834	58774.147	45613.4298	63289.6742	TRUE	FALSE
RT1B	Rt1b	FBte0000603	non-LTR	RNA	119198.989	138987.189	108224.086	106491.035	86132.392	139214.874	124328.164	132875.586	116705.296	130914.632	111806.7382	128807.7104	FALSE	FALSE
S2	S2	FBte0000709	TIR	DNA	5215.499	6868.305	6017.886	4359.245	4860.901	10935.031	9924.675	10516.553	10136.72	9988.381	5464.3672	10300.272	TRUE	FALSE
SPRINGER	springer	FBte0000333	LTR	RNA	28719.399	33439.989	30293.656	33852.094	18185.677	33720.553	44048.706	40958.878	36862.54	32609.199	28898.163	37639.9752	FALSE	FALSE
STALKER2	Stalker2	FBte0000472	LTR	RNA	98658.78	83727.527	82415.792	81979.654	68834.002	102528.929	126595.916	93203.214	99220.795	90664.991	83123.151	102442.769	FALSE	FALSE
STALKER3	Stalker3	FBte0001157	LTR	RNA	8322.042	7201.792	8327.108	6563.418	5830.926	8445.195	8081.095	8873.286	7025.337	6066.093	7249.0572	7698.2012	FALSE	FALSE
TABOR	Tabor	FBte0000974	LTR	RNA	96341.72	67641.943	74466.616	133013.66	104700.537	128341.499	137714.653	134993.858	143236.406	144075.437	95232.8952	137672.3706	FALSE	FALSE
TAHRE	TAHRE	FBte0000148	non-LTR	RNA	121018.274	63763.275	88665.821	148642.219	119315.969	98054.952	120384.795	131450.098	154798.896	72504.167	108281.1116	115438.5816	FALSE	FALSE
TC1	Tc1	FBte0000927	TIR	DNA	21805.932	25354.846	23516.053	22466.768	24299.719	37624.751	34288.622	34579.578	35620.161	36331.468	23488.6636	35688.916	TRUE	FALSE
TC1-2	Tc1-2	FBte0000838	TIR	DNA	18184.043	21501.106	21466.288	17833.041	19427.338	31491.209	28921.64	30223.886	30706.581	29361.201	19682.3632	30140.9034	TRUE	FALSE
TC3	Tc3	FBte0000044	TIR	DNA	5613.227	5793.073	6189.341	4211.74	4858.35	7837.65	7369.507	7654.685	7548.743	7253.964	5333.1462	7532.9098	TRUE	FALSE
Tinker	diver	FBte0000001	LTR	RNA	53239.79	72717.536	53582.395	46571.327	49068.905	89484.314	73585.177	70234.424	90573.34	75483.266	55035.9906	79872.1042	FALSE	FALSE
TIRANT	Tirant	FBte0000179	LTR	RNA	68418.957	50139.485	99286.659	89220.218	81926.524	90660.411	70028.47	63998.342	91345.314	88174.496	77798.3686	80841.4066	FALSE	FALSE
TRANSIB1	transib1	FBte0000626	TIR	DNA	6639.907	9033.967	8216.212	6470.054	6803.785	12774.325	11412.407	11685.8	11801.057	11527.857	7432.785	11840.2892	TRUE	FALSE
TRANSIB2	transib2	FBte0000885	TIR	DNA	34513.971	44006.375	39019.7	31614.17	35227.52	57746.464	52654.292	53338.162	57765.286	55241.868	36876.3472	55349.2144	TRUE	FALSE
TRANSIB4	transib4	FBte0001174	TIR	DNA	6060.648	7271.753	7085.085	5934.186	6641.319	9898.29	8838.23	9045.4	8972.533	8719.547	6598.5982	9094.8	TRUE	FALSE
