TEfam	flybase_name	fb_id	TEsubclass	TEclass	Cont_Ra	Cont_Rb	Sel_2La	Sel_2Lb	Sel_La	Sel_Lb	Mean_Cont	Mean_Sel	ConsistSC	ConsistCS
DM06920	HeT-A	FBte0000143	non-LTR	RNA	45973.608	40743.073	35965.902	32344.337	59645.196	72165.011	43358.3405	50030.1115	FALSE	FALSE
DM23420	3S18	FBte0000266	LTR	RNA	60860.683	61026.63	84695.201	75706.145	68969.843	70507.731	60943.6565	74969.73	TRUE	FALSE
DM33463	S-element	FBte0001005	TIR	DNA	26451.094	21127.845	21605.417	24387.018	22580.9	27092.192	23789.4695	23916.38175	FALSE	FALSE
DM88	Dm88	FBte0000267	LTR	RNA	59919.276	51414.069	44865.87	43720.332	51574.112	47478.892	55666.6725	46909.8015	FALSE	FALSE
DMAURA	aurora-element	FBte0000112	LTR	RNA	14577.473	10393.818	12233.192	11421.767	10698.806	10841.285	12485.6455	11298.7625	FALSE	FALSE
DMBARI1	Bari1	FBte0000034	TIR	DNA	45535.394	34509.342	26811.414	29780.948	32409.152	29325.774	40022.368	29581.822	FALSE	TRUE
DMBLPP	flea	FBte0000660	LTR	RNA	56353.412	49550.341	60009.315	74998.32	41392.25	76367.69	52951.8765	63191.89375	FALSE	FALSE
DMCOPIA	copia	FBte0000023	LTR	RNA	88605.28	93705.313	71848.318	74970.382	84028.781	78878.546	91155.2965	77431.50675	FALSE	TRUE
DMCR1A	Cr1a	FBte0000140	non-LTR	RNA	226008.493	195693.213	208937.895	220658.339	206422.263	231712.894	210850.853	216932.84775	FALSE	FALSE
DMDM11	micropia	FBte0000042	LTR	RNA	43863.413	43766.396	45977.921	51180.541	49711.502	54274.228	43814.9045	50286.048	TRUE	FALSE
DME010298	GATE	FBte0000359	LTR	RNA	132453.207	109553.884	124263.811	121254.308	120137.809	126078.148	121003.5455	122933.519	FALSE	FALSE
DME278684	Rt1a	FBte0000457	non-LTR	RNA	89790.547	88550.524	101287.523	93489.497	90646.888	87764.309	89170.5355	93297.05425	FALSE	FALSE
DME487856	Max-element	FBte0000304	LTR	RNA	107704.426	95647.188	117746.688	141127.879	128434.853	135809.965	101675.807	130779.84625	TRUE	FALSE
DME9736	Idefix	FBte0000104	LTR	RNA	104552.751	84688.58	91770.776	96516.035	81299.798	114066.978	94620.6655	95913.39675	FALSE	FALSE
DMGYPF1A	gypsy	FBte0000021	LTR	RNA	48354.4	29634.976	30904.723	34007.959	20881.968	32166.066	38994.688	29490.179	FALSE	FALSE
DMHFL1	hobo	FBte0000154	TIR	DNA	49696.452	37207.991	36088.311	47380.66	47746.018	64880.581	43452.2215	49023.8925	FALSE	FALSE
DMIFACA	I-element	FBte0000133	non-LTR	RNA	84536.337	68042.459	86884.988	89843.51	90184.864	109387.39	76289.398	94075.188	TRUE	FALSE
DMIS176	17.6	FBte0000109	LTR	RNA	126892.766	96344.133	103301.033	121972.247	96676.296	118095.628	111618.4495	110011.301	FALSE	FALSE
DMIS297	297	FBte0000675	LTR	RNA	114659.042	122919.173	118954.885	124580.166	107488.316	113730.613	118789.1075	116188.495	FALSE	FALSE
DMLINEJA	jockey	FBte0000088	non-LTR	RNA	119730.908	136156.301	93398.493	114013.846	129691.057	112759.72	127943.6045	112465.779	FALSE	FALSE
DMMDG3	mdg3	FBte0000010	LTR	RNA	53154.932	66271.415	33175.528	50981.386	49076.915	38190.76	59713.1735	42856.14725	FALSE	TRUE
DMPOGOR11	pogo	FBte0000568	TIR	DNA	37116.622	30799.434	25593.338	30664.644	33672.111	34384.583	33958.028	31078.669	FALSE	FALSE
DMREPG	G-element	FBte0000657	non-LTR	RNA	32698.183	21849.539	28957.883	24260.366	22526.845	24515.995	27273.861	25065.27225	FALSE	FALSE
DMRER1DM	R1A1-element	FBte0000118	non-LTR	RNA	888844.68	852947.596	991482.591	825756.415	955701.045	852891.246	870896.138	906457.82425	FALSE	FALSE
DMRER2DM	R2-element	FBte0000030	non-LTR	RNA	92169.014	65908.753	83476.35	70031.044	79956.402	80596.361	79038.8835	78515.03925	FALSE	FALSE
DMRTMGD1	mdg1	FBte0000015	LTR	RNA	157974.493	103887.036	75560.563	85181.276	90172.226	87214.96	130930.7645	84532.25625	FALSE	TRUE
DMTHB1	HB	FBte0000414	TIR	DNA	16365.341	15050.768	14191.134	15992.249	15365.601	17472.063	15708.0545	15755.26175	FALSE	FALSE
DMTN1731	1731	FBte0000003	LTR	RNA	50339.445	42903.285	49330.7	46327.144	37142.643	55778.229	46621.365	47144.679	FALSE	FALSE
DMTNFB	FB	FBte0000288	FB	DNA	18570.287	21801.77	13262.07	20900.831	19299.464	20987.673	20186.0285	18612.5095	FALSE	FALSE
DMTOM1_LTR	Tom1	FBte0000400	LTR	RNA	1599.074	1335.325	1458.163	1650.474	1260.667	1709.966	1467.1995	1519.8175	FALSE	FALSE
DMTRDNA	hopper	FBte0000670	TIR	DNA	18793.983	15238.297	16881.494	18037.958	18181.236	19262.879	17016.14	18090.89175	FALSE	FALSE
DMU89994	Burdock	FBte0000739	LTR	RNA	50233.024	27990.232	31632.422	39238.333	47897.795	44615.322	39111.628	40845.968	FALSE	FALSE
DMW1DOC	Doc	FBte0000341	non-LTR	RNA	304473.139	237639.211	261400.805	248500.592	217008.382	262109.788	271056.175	247254.89175	FALSE	FALSE
DMZAM	ZAM	FBte0000217	LTR	RNA	18678.809	21039.258	22922.686	22123.088	20436.926	24380.342	19859.0335	22465.7605	FALSE	FALSE
DOC2	Doc2-element	FBte0000103	non-LTR	RNA	72955.839	62958.129	71311.057	67325.18	68269.962	77462.115	67956.984	71092.0785	FALSE	FALSE
DOC3	Doc3-element	FBte0001140	non-LTR	RNA	96014.769	84206.137	92417.168	92776.715	89463.925	94966.694	90110.453	92406.1255	FALSE	FALSE
DOC4	Doc4-element	FBte0001039	non-LTR	RNA	12359.206	10958.621	11333.694	11652.806	10585	11901.318	11658.9135	11368.2045	FALSE	FALSE
DOC5	Porto1	FBte0000791	non-LTR	RNA	35895.784	28780.436	31331.173	34479.006	30996.902	36211.004	32338.11	33254.52125	FALSE	FALSE
F	F-element	FBte0000005	non-LTR	RNA	426530.191	394875.394	441084.535	363691.073	370163.003	433551.491	410702.7925	402122.5255	FALSE	FALSE
FROGGER	frogger	FBte0000314	LTR	RNA	5115.957	4878.84	5005.983	5258.483	5098.556	5504.595	4997.3985	5216.90425	FALSE	FALSE
FW2	Fw2	FBte0001002	non-LTR	RNA	11115.064	9947.492	10566.956	10904.202	10608.672	11350.944	10531.278	10857.6935	FALSE	FALSE
FW3	Fw3	FBte0000636	non-LTR	RNA	6600.509	5641.536	7657.168	7095.418	5973.629	6840.792	6121.0225	6891.75175	FALSE	FALSE
G2	G2	FBte0000800	non-LTR	RNA	41608.149	37836.103	44514.415	34599.885	36534.189	36641.254	39722.126	38072.43575	FALSE	FALSE
G3	G3	FBte0001171	non-LTR	RNA	6737.479	5686.648	6587.354	6636.746	6516.363	7313.639	6212.0635	6763.5255	FALSE	FALSE
G4_DM	G4	FBte0000290	non-LTR	RNA	24376.943	22115.065	23782.064	28094.222	23506.649	28427.485	23246.004	25952.605	FALSE	FALSE
G5_DM	G5	FBte0001128	non-LTR	RNA	36748.013	32996.716	37039.734	35759.693	35085.275	35682.758	34872.3645	35891.865	FALSE	FALSE
G5A	G5A	FBte0000174	non-LTR	RNA	19419.799	18178.543	19438.654	19649.548	18117.836	19751.483	18799.171	19239.38025	FALSE	FALSE
G6_DM	G6	FBte0000958	non-LTR	RNA	19534.176	20273.497	24584.567	23601.19	18081.123	21844.987	19903.8365	22027.96675	FALSE	FALSE
G7	G7	FBte0000690	non-LTR	RNA	1071.604	924.219	1082.186	1046.692	1030.513	1024.014	997.9115	1045.85125	FALSE	FALSE
GTWIN	gtwin	FBte0001062	LTR	RNA	11088.298	14471.38	13828.646	9858.32	16002.886	10012.992	12779.839	12425.711	FALSE	FALSE
GYPSY10	gypsy10	FBte0000351	LTR	RNA	24418.023	19095.599	18508.043	17848.862	19316.048	20010.326	21756.811	18920.81975	FALSE	FALSE
GYPSY2	gypsy2	FBte0001040	LTR	RNA	46636.818	42574.015	45374.954	47921.83	41606.918	46370.187	44605.4165	45318.47225	FALSE	FALSE
GYPSY3	gypsy3	FBte0001030	LTR	RNA	22445.889	24796.695	26139.135	27388.587	23402.894	26142.234	23621.292	25768.2125	FALSE	FALSE
GYPSY4	gypsy4	FBte0000688	LTR	RNA	88053.919	78258.603	80481.72	86738.641	76218.462	91572.434	83156.261	83752.81425	FALSE	FALSE
GYPSY6	gypsy6	FBte0001175	LTR	RNA	55011.884	51187.925	53130.21	54795.995	54590.659	52914.361	53099.9045	53857.80625	FALSE	FALSE
GYPSY7	gypsy7	FBte0000171	LTR	RNA	23175.179	19889.874	23540.565	23179.497	21271.203	24991.206	21532.5265	23245.61775	FALSE	FALSE
GYPSY8	gypsy8	FBte0000168	LTR	RNA	12891.42	13001.978	15071.095	13917.595	12340.982	12992.282	12946.699	13580.4885	FALSE	FALSE
HEL	Helena	FBte0000984	non-LTR	RNA	5203.019	5068.403	5247.302	5616.945	5814.853	5919.317	5135.711	5649.60425	TRUE	FALSE
HOPPER2	hopper2	FBte0000930	TIR	DNA	4611.624	4848.861	4765.983	5595.065	3836.8	6107.897	4730.2425	5076.43625	FALSE	FALSE
INVADER	invader1	FBte0000357	LTR	RNA	41478.757	26965.29	32810.5	31675.693	28986.182	32236.449	34222.0235	31427.206	FALSE	FALSE
INVADER2	invader2	FBte0001084	LTR	RNA	70688.886	54563.18	69749.959	77950.682	71257.351	82629.847	62626.033	75396.95975	FALSE	FALSE
INVADER3	invader3	FBte0000619	LTR	RNA	28017.091	28337.337	24711.611	27973.494	24708.126	28500.567	28177.214	26473.4495	FALSE	FALSE
INVADER4	invader4	FBte0000292	LTR	RNA	24026.872	22956.783	26388.307	27630.841	26676.383	28323.827	23491.8275	27254.8395	TRUE	FALSE
INVADER6	invader6	FBte0000591	LTR	RNA	13207.214	9476.923	8780.024	10951.134	8055.672	9822.598	11342.0685	9402.357	FALSE	FALSE
IVK	Ivk	FBte0000608	non-LTR	RNA	85388.633	64565.339	70644.975	62699.085	56641.689	71760.036	74976.986	65436.44625	FALSE	FALSE
JOCKEY2	jockey2	FBte0001092	non-LTR	RNA	10682.052	9974.996	10874.502	10762.387	10150.386	11342.7	10328.524	10782.49375	FALSE	FALSE
JUAN	Juan	FBte0000982	non-LTR	RNA	24153.88	26211.155	27675.314	29611.424	34038.023	35700.472	25182.5175	31756.30825	TRUE	FALSE
LOOPER1_DM	looper1	FBte0000323	TIR	DNA	2900.017	2612.296	2597.89	3045.452	2729.606	3104.512	2756.1565	2869.365	FALSE	FALSE
MARINER2	mariner2	FBte0001033	TIR	DNA	8690.951	7908.009	7953.327	8340.244	7844.618	8844.03	8299.48	8245.55475	FALSE	FALSE
McCLINTOCK	McClintock	FBte0000926	LTR	RNA	31989.447	28195.762	32498.848	32047.154	33855.424	35416.826	30092.6045	33454.563	TRUE	FALSE
OPUS	opus	FBte0000918	LTR	RNA	140070.223	118949.652	108483.148	102080.002	122004.455	105375.287	129509.9375	109485.723	FALSE	FALSE
OSV	Osvaldo	FBte0000587	LTR	RNA	3169.391	2846.307	3575.217	3230.77	2683.463	2914.997	3007.849	3101.11175	FALSE	FALSE
PPI251	P-element	FBte0000037	TIR	DNA	68067.369	42508.558	19402.887	24252.872	33370.35	38723.196	55287.9635	28937.32625	FALSE	TRUE
QBERT	accord2	FBte0001166	LTR	RNA	35745.031	31042.093	37295.069	38810.162	34071.257	41190.025	33393.562	37841.62825	FALSE	FALSE
QUASIMODO	Quasimodo	FBte0000640	LTR	RNA	100138.889	77307.273	75462.954	86230.478	76238.873	76167.027	88723.081	78524.833	FALSE	FALSE
R1-2	R1-2	FBte0000720	non-LTR	RNA	6038.293	5320.145	6689.816	6206.704	6106.822	6193.997	5679.219	6299.33475	TRUE	FALSE
ROOA_LTR	rooA	FBte0000765	LTR	RNA	59179.68	51724.179	55473.7	57534.589	57349.996	64898.635	55451.9295	58814.23	FALSE	FALSE
ROVER	rover	FBte0000692	LTR	RNA	56798.423	45362.614	30606.324	39049.798	24841.482	39769.353	51080.5185	33566.73925	FALSE	TRUE
ROXELEMENT	X-element	FBte0001160	non-LTR	RNA	89123.427	83091.491	80285.62	83861.807	76522.954	81422.121	86107.459	80523.1255	FALSE	FALSE
RT1B	Rt1b	FBte0000603	non-LTR	RNA	217466.667	202793.42	211098.653	187093.43	183620.779	182664.997	210130.0435	191119.46475	FALSE	FALSE
RT1C	Rt1c	FBte0000666	non-LTR	RNA	29756.442	29602.268	36264.964	31425.255	33850.706	34280.641	29679.355	33955.3915	TRUE	FALSE
S2	S2	FBte0000709	TIR	DNA	6586.087	5454.791	5501.802	6071.135	6023.899	6387.218	6020.439	5996.0135	FALSE	FALSE
SPRINGER	springer	FBte0000333	LTR	RNA	65644.395	51097.749	40817.216	41593.834	60180.13	49611.113	58371.072	48050.57325	FALSE	FALSE
STALKER2	Stalker2	FBte0000472	LTR	RNA	41447.262	41373.467	19261.514	33050.618	35642.724	29112.808	41410.3645	29266.916	FALSE	TRUE
STALKER3	Stalker3	FBte0001157	LTR	RNA	3195.797	3123.677	3712.003	3317.185	3844.404	3963.042	3159.737	3709.1585	TRUE	FALSE
TABOR	Tabor	FBte0000974	LTR	RNA	42924.099	45671.882	50556.088	50996.724	53536.05	60151.944	44297.9905	53810.2015	TRUE	FALSE
TAHRE	TAHRE	FBte0000148	non-LTR	RNA	42276.505	64726.412	17378.935	35054.608	75662.867	47551.443	53501.4585	43911.96325	FALSE	FALSE
TC1	Tc1	FBte0000927	TIR	DNA	25370.056	23859.31	23274.719	24965.036	23157.276	26053.988	24614.683	24362.75475	FALSE	FALSE
TC1-2	Tc1-2	FBte0000838	TIR	DNA	13210.554	11953.736	12060.174	14729.072	11929.349	15004.535	12582.145	13430.7825	FALSE	FALSE
TC3	Tc3	FBte0000044	TIR	DNA	3870.552	3541.864	4071.062	3878.943	4090.84	4471.402	3706.208	4128.06175	TRUE	FALSE
Tinker	diver	FBte0000001	LTR	RNA	122790.26	69443.913	70731.628	71212.121	97858.678	73917.546	96117.0865	78429.99325	FALSE	FALSE
TIRANT	Tirant	FBte0000179	LTR	RNA	50555.511	16905.778	53002.063	42629.847	35823.976	55905.671	33730.6445	46840.38925	FALSE	FALSE
TRANSIB1	transib1	FBte0000626	TIR	DNA	4309.622	3723.622	3511.695	4391.408	4046.774	4427.806	4016.622	4094.42075	FALSE	FALSE
TRANSIB2	transib2	FBte0000885	TIR	DNA	27719.625	23225.141	21725.588	25589.289	25411.099	26977.637	25472.383	24925.90325	FALSE	FALSE
TRANSIB3	transib3	FBte0000725	TIR	DNA	11598.389	9655.977	9459.184	11001.374	9864.208	11488.376	10627.183	10453.2855	FALSE	FALSE
TRANSIB4	transib4	FBte0001174	TIR	DNA	5060.238	4053.801	3891.107	4717.058	4247.702	4898.301	4557.0195	4438.542	FALSE	FALSE
