Name	TEfam	av_freq	Numeric	Color1	Color2	Type	plotpch
mdg1	DMRTMGD1	0.039289337	6	blue	blue	Soma	21
mdg3	DMMDG3	0.044010734	14	blue	blue	Soma	21
micropia	DMDM11	0.180798208	61	blue	inter	Germline	21
NOF	FB	0.06763285	38	red	inter	Germline	21
opus	OPUS	0.045840808	16	blue	blue	Germline	21
P-element	PPI251	0.028943308	1	blue	blue	Germline	21
pogo	DMPOGOR11	0.056032171	28	blue	blue	Germline	21
Porto1	DOC5	1	113.5	red	red	Germline	21
Quasimodo	QUASIMODO	0.081120362	46	blue	blue	Soma	21
R1-2	R1-2	NA	NA	red	red	Germline	21
R1A1-element	DMRER1DM	0.05023462	23	blue	blue	Germline	21
R2-element	DMRER2DM	0.03386124	3	blue	blue	Germline	21
roo	DM_ROO	0.066481013	37	blue	blue	Germline	21
rooA	ROOA_LTR	0.68145031	85	red	red	Germline	21
rover	ROVER	0.039934363	8	blue	blue	Germline	21
Rt1a	DME278684	0.097026101	51	blue	blue	Germline	21
Rt1b	RT1B	0.103013519	55	blue	blue	Germline	21
Rt1c	RT1C	0.850355921	91	NA	NA	NA	21
S-element	DM33463	0.232203123	67	blue	inter	Germline	21
S2	S2	0.978240844	103	red	red	Germline	21
springer	SPRINGER	0.042469817	11	blue	inter	Soma	21
Stalker	STALKER	0.034880456	4	blue	inter	Soma	21
Stalker2	STALKER2	0.043489488	13	blue	blue	Soma	21
Stalker4	STALKER4	0.099624927	53	red	inter	Soma	21
Tabor	TABOR	0.041266292	10	blue	blue	Soma	21
TAHRE	TAHRE	0.501616326	81	blue	inter	Germline	21
Tc1	TC1	0.877218834	95	red	red	Germline	21
Tc1-2	TC1-2	0.88573934	96	red	red	Germline	21
Tc3	TC3	0.952971631	100	red	red	Germline	21
Tirant	TIRANT	0.032267499	2	blue	blue	Soma	21
Tom1	DMTOM1_LTR	0.993630573	109	red	red	Germline	21
transib1	TRANSIB1	NA	NA	red	red	Germline	21
transib2	TRANSIB2	0.210861139	65	blue	inter	Germline	21
transib3	TRANSIB3	0.983153455	104	red	red	Germline	21
transib4	TRANSIB4	0.970602022	102	red	red	Germline	21
Transpac	AF222049	0.044294076	15	blue	blue	Soma	21
X-element	ROXELEMENT	0.169721559	60	blue	inter	Germline	21
ZAM	DMZAM	0.064900099	32	blue	inter	Soma	21
Osvaldo	OSV	NA	NA	red	red	Germline	21
Q-element	Q	NA	NA	red	inter	Germline	21
Stalker3	STALKER3	NA	NA	red	red	Germline	21
